index,headline,source_url,publish_date,publisher
0,Chinese officials make conflicting public statements on whether coronavirus can be spread by air,https://www.mothership.sg/2020/02/aerosol-transmission-coronavirus/,"February 10, 01:05 pm",Mothership
1,Qatar advises citizens to reconsider travelling to S’pore due to coronavirus outbreak,https://www.mothership.sg/2020/02/qatar-singapore-travel-advisory-coronavirus/,"February 10, 01:03 pm",Mothership
2,Coronavirus: ‘Normal’ mask-buying crowd at Mustafa even after visit from confirmed case,https://www.mothership.sg/2020/02/mustafa-crowd-coronavirus/,"February 10, 12:44 pm",Mothership
3,Long queues for early morning temperature checks at Suntec & Raffles Place office buildings,https://www.mothership.sg/2020/02/long-queues-temperature-check-suntec/,"February 10, 12:40 pm",Mothership
4,China coronavirus death toll hits 908,https://www.mothership.sg/2020/02/wuhan-virus-death-feb-10/,"February 10, 11:45 am",Mothership
5,Coronavirus: Kyoto’s tourist attractions see significant drop in visitors,https://www.mothership.sg/2020/02/kyoto-wuhan-virus-empty/,"February 10, 11:39 am",Mothership
6,Kuwait the first country to advise its citizens not to travel to S’pore,https://www.mothership.sg/2020/02/kuwait-singapore-coronavirus/,"February 10, 12:34 am",Mothership
7,Coronavirus: MOM revokes 4 work passes & suspends privileges of 6 employers for breaching LOA,https://www.mothership.sg/2020/02/mom-revoke-work-pass-coronavirus/,"February 10, 12:04 am",Mothership
8,Confirmed case at Marina Bay Financial Centre is a S’porean with no recent travel history to China,https://www.mothership.sg/2020/02/marina-bay-financial-centre-coronavirus/,"February 9, 11:31 pm",Mothership
10,Confirmed case at Marina Bay Financial Centre is a S’porean with no recent travel history to China,https://www.mothership.sg/2020/02/marina-bay-financial-centre-coronavirus/,"February 9, 11:31 pm",Mothership
12,"Coronavirus: 6 patients in critical condition, an increase of 2 from Feb. 8",https://www.mothership.sg/2020/02/coronavirus-6-patients-critical-condition/,"February 9, 10:21 pm",Mothership
13,Coronavirus: Bangladeshi worker who visited Mustafa among new cases on Feb. 9,https://www.mothership.sg/2020/02/coronavirus-bangladesh-worker-mustafa/,"February 9, 10:12 pm",Mothership
14,"Coronavirus: 1st S’porean to recover, with 4 more patients discharged",https://www.mothership.sg/2020/02/coronavirus-4-more-patients-discharged-in-spore-6-fully-recovered-in-total/,"February 9, 09:59 pm",Mothership
15,"Coronavirus: 3 more confirmed cases in S’pore, one’s a Bangladesh national",https://www.mothership.sg/2020/02/coronavirus-confirmed-cases-43/,"February 9, 09:53 pm",Mothership
16,"M’sia confirms 17th case of coronavirus, woman related to patient who went to Grand Hyatt S’pore",https://www.mothership.sg/2020/02/malaysia-coronavirus-grand-hyatt/,"February 9, 08:23 pm",Mothership
17,Chan Chun Sing: S’poreans who hoard supplies or ‘behave inappropriately’ undermine our international reputation,https://www.mothership.sg/2020/02/chan-chun-sing-singaporeans-hoarding/,"February 9, 07:49 pm",Mothership
20,No delivery slots left for online grocery shopping service RedMart until Feb 15,https://www.mothership.sg/2020/02/redmart-no-delivery-slots/,"February 9, 06:16 pm",Mothership
21,Pritam Singh & Edwin Tong clash over merits of POFMA at NTU Forum on fake news,https://www.mothership.sg/2020/02/pritam-singh-edwin-tong-pofma/,"February 9, 05:17 pm",Mothership
22,MAS asks financial institutions to adopt extra measures for DORSCON Orange,https://www.mothership.sg/2020/02/mas-dorscon-orange-financial-institutions-measures/,"February 9, 04:17 pm",Mothership
23,A side-by-side comparison of how Hong Kong & S’pore have handled the coronavirus outbreak so far,https://www.mothership.sg/2020/02/hong-kong-singapore-coronavirus-comparison/,"February 9, 03:52 pm",Mothership
24,Thousands of South Korean couples tie the knot in mass wedding amidst coronavirus outbreak,https://www.mothership.sg/2020/02/south-korea-mass-wedding-coronavirus/,"February 9, 01:46 pm",Mothership
25,"MFA: 174 S’poreans return from Wuhan on Feb. 9, 2020 via Scoot flight",https://www.mothership.sg/2020/02/174-singaporeans-return-from-wuhan/,"February 9, 01:20 pm",Mothership
26,"NTUC Fairprice placing limits for amount of rice, instant noodles & toilet paper each shopper can buy",https://www.mothership.sg/2020/02/ntuc-fairprice-limits-rice-instant-noodles-toilet-paper/,"February 9, 01:02 pm",Mothership
27,"Psychology behind panic buying in S’pore supermarkets, explained",https://www.mothership.sg/2020/02/psychology-panic-buying/,"February 9, 12:26 pm",Mothership
29,"From airport to NCID, S’porean describes what it was like being an almost-suspect coronavirus case",https://www.mothership.sg/2020/02/suspect-coronavirus-case-testing-process-spore/,"February 9, 12:08 pm",Mothership
30,"From airport to NCID, S’porean describes what it was like being an almost-suspect coronavirus case",https://www.mothership.sg/2020/02/suspect-coronavirus-case-testing-process-spore/,"February 9, 12:08 pm",Mothership
31,S’porean dad & daughters thank doctors & nurses with simple act of buying them breakfast,https://www.mothership.sg/2020/02/dad-daughters-buy-breakfast-doctors-nurses/,"February 9, 11:59 am",Mothership
32,"Global death toll for novel coronavirus reaches over 800, set to exceed SARS",https://www.mothership.sg/2020/02/coronavirus-death-toll-more-than-sars/,"February 9, 11:39 am",Mothership
33,"5 Britons contract coronavirus in French Ski resort, linked to man who attended Grand Hyatt meeting",https://www.mothership.sg/2020/02/uk-nationals-french-resort-coronavirus/,"February 9, 11:23 am",Mothership
34,China to investigate rumour-monger turned whistle-blower doctor’s death after nationwide outcry,https://www.mothership.sg/2020/02/china-li-wen-liang-death-investigate/,"February 9, 09:53 am",Mothership
35,Nee Soon GRC MP Louis Ng reports Yishun retailer to MTI for selling 20 masks for S$138,https://www.mothership.sg/2020/02/louis-ng-masks/,"February 9, 05:49 am",Mothership
37,Tan Tock Seng Hospital pays tribute to its unsung heroes working tirelessly to fight novel coronavirus,https://www.mothership.sg/2020/02/ttsh-tribute-wuhan-virus/,"February 9, 04:39 am",Mothership
38,"5 nCoV cases linked to Life Church & Missions S’pore, church services stopped from Feb. 8",https://www.mothership.sg/2020/02/life-church-missions-coronavirus/,"February 9, 12:12 am",Mothership
41,Taxi driver & private hire driver among 7 new coronavirus cases in S’pore on Feb. 8,https://www.mothership.sg/2020/02/taxi-driver-coronavirus/,"February 8, 11:37 pm",Mothership
42,"Coronavirus: 7 more confirmed cases in S’pore, 3 possible clusters identified",https://www.mothership.sg/2020/02/coronavirus-confirmed-cases/,"February 8, 11:30 pm",Mothership
43,Coronavirus: 4 patients in critical condition & 1 requires oxygen support,https://www.mothership.sg/2020/02/singapore-coronavirus-4-icu/,"February 8, 11:27 pm",Mothership
44,"GrabShare to suspend temporarily from tonight (Feb. 9, 1am)",https://www.mothership.sg/2020/02/grabshare-suspend-coronavirus/,"February 8, 11:19 pm",Mothership
46,S’poreans mildly at risk of throwing 36 years of Total Defence lessons out the window,https://www.mothership.sg/2020/02/total-defence-wuhan-virus/,"February 8, 10:35 pm",Mothership
47,"S’pore youths who ‘sampled’ juice in supermarket release public apology, hope for ‘2nd chance’",https://www.mothership.sg/2020/02/sample-juice-apology/,"February 8, 10:01 pm",Mothership
49,S’porean man explains strain on supermarket staff caused by mass buying & urges people to stop,https://www.mothership.sg/2020/02/stop-mass-buying/,"February 8, 07:52 pm",Mothership
51,Kiasu shoppers officially break FairPrice website & cause app to shoot up download chart,https://www.mothership.sg/2020/02/fairprice-website-down-wuhan-virus/,"February 8, 06:51 pm",Mothership
53,Scammers are pretending to conduct contact tracing to procure information from S’pore victims,https://www.mothership.sg/2020/02/moh-warning-contact-tracing-scammers/,"February 8, 06:16 pm",Mothership
54,Coronavirus outbreak is test of S’pore’s social cohesion & psychological resilience: PM Lee,https://www.mothership.sg/2020/02/pm-lee-stay-calm-coronavirus/,"February 8, 06:03 pm",Mothership
56,"S’pore youth drinks from juice bottle & puts it back on shelf, friend says they eventually paid for it",https://www.mothership.sg/2020/02/test-juice-singapore/,"February 8, 05:46 pm",Mothership
57,People in S’pore don full face & body mask to ward off coronavirus or for peace of mind,https://www.mothership.sg/2020/02/singapore-full-mask-face/,"February 8, 05:11 pm",Mothership
58,Queue for masks at Mustafa going ridiculously strong for at least 2 straight days,https://www.mothership.sg/2020/02/mustafa-queue-masks/,"February 8, 04:03 pm",Mothership
59,"US citizen diagnosed with coronavirus dies in Wuhan, first reported foreigner death in China",https://www.mothership.sg/2020/02/us-citizen-die-coronavirus-wuhan/,"February 8, 04:00 pm",Mothership
62,Australia allows Chinese woman to visit dying son in exception on travel ban,https://www.mothership.sg/2020/02/australia-travel-ban-exemption-dying-son/,"February 8, 02:47 pm",Mothership
63,"‘My goodies, this is my minimart!’: S’pore woman shows off stockpiled groceries in bomb shelter",https://www.mothership.sg/2020/02/stockpile-groceries-singapore/,"February 8, 02:38 pm",Mothership
64,"S’pore ambulance driver allegedly turned away from food stall, according to Grab driver",https://www.mothership.sg/2020/02/grab-driver-story-of-ambulance-driver/,"February 8, 02:28 pm",Mothership
65,2nd death in the Philippines after suspicions of coronavirus in patient,https://www.mothership.sg/2020/02/second-person-pneumonia-death-philippines/,"February 8, 11:54 am",Mothership
