index,headline,source_url,publish_date,publisher
0,Sarawak enforces 14-day home quarantine rule for travellers from Singapore,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-sarawak-quarantine-singapore-12418054,2020-02-10,Channel News Asia
1,Attendance at Victoria Junior College 'very normal' despite coronavirus situation: Ong Ye Kung,https://www.channelnewsasia.com/news/singapore/coronavirus-victoria-junior-college-ong-ye-kung-visit-12417856,2020-02-10,Channel News Asia
2,Novel coronavirus in Singapore: Major events cancelled due to outbreak ,https://www.channelnewsasia.com/news/singapore/novel-coronavirus-singapore-major-events-cancelled-12417726,2020-02-10,Channel News Asia
3,"Taxi, private-hire drivers to get 300,000 masks for passengers amid coronavirus fears",https://www.channelnewsasia.com/news/singapore/coronavirus-taxi-private-hire-drivers-300000-masks-passengers-12416554,2020-02-10,Channel News Asia
4,Malaysian government mulling stimulus package as coronavirus outbreak takes toll on economy,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-malaysia-stimulus-package-mahathir-guan-eng-12417728,2020-02-10,Channel News Asia
5,Coronavirus chaos ravages Asia's sporting calendar,https://www.channelnewsasia.com/news/sport/coronavirus-chaos-ravages-asia-s-sporting-calendar-12417710,2020-02-10,Channel News Asia
6,More than 180 police officers deployed at quarantine facilities across Singapore,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-quarantine-facilities-singapore-police-officer-12417732,2020-02-10,Channel News Asia
7,UK declares coronavirus a serious and imminent threat to public health,https://www.channelnewsasia.com/news/world/wuhan-virus-coronavirus-uk-serious-imminent-threat-12417612,2020-02-10,Channel News Asia
8,"Kuwait, Qatar issue travel advisories for Singapore, urge citizens to defer travel plans",https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-kuwait-qatar-travel-advisory-12417074,2020-02-10,Channel News Asia
9,Coronavirus transforms daily life on Hong Kong's fearful streets,https://www.channelnewsasia.com/news/asia/coronavirus-transforms-daily-life-on-hong-kong-s-fearful-streets-12417150,2020-02-10,Channel News Asia
10,66 more people found to have coronavirus on Diamond Princess cruise ship in Japan,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-japan-cruise-ship-diamond-princess-12416970,2020-02-10,Channel News Asia
11,Singapore Premier League season to proceed with coronavirus measures in place: FAS,https://www.channelnewsasia.com/news/sport/singapore-football-premier-league-2020-coronavirus-12416802,2020-02-10,Channel News Asia
