Title,Source Link,Time of the post,Source Name
Gates Foundation pledges US$100m for coronavirus response,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-bill-gates-foundation-donation-100-million-12399060?cid=FBcna&fbclid=IwAR2M5-9igDeocnGDQRi9jUMl_6y-tPo4ZCWUzir58JgZAxfdsFwkTp506K8,06 Feb 2020 1:46 AM,Channel NewsAsia
Novel coronavirus – the search for a cure (and a name experts can agree on) intensifies,https://www.channelnewsasia.com/news/podcasts/heart-of-the-matter/wuhan-coronavirus-community-spread-singapore-cure-flu-sars-who-12396566?cid=fbcna&fbclid=IwAR2nEO7JEWTfyEaR1NXeaPtrqgqsH-y0jGsBGhUt-YTqKmOwGcbaAR6SAZQ,05 Feb 2020 5:00 PM,Channel NewsAsia
Ten more on cruise ship off Japan have new coronavirus: Local media,https://www.channelnewsasia.com/news/asia/wuhan-virus-cruise-ship-japan-infected-12399872?cid=FBcna&fbclid=IwAR0fGRyzF_ThW4q29ByEXCIBYunShtsZR7DKGiUnN3IaT6EEjp-RE-Ru4h4,06 Feb 2020 8:21 AM,Channel NewsAsia
Commentary: Looks like containment of novel coronavirus not as effective as we had hoped,https://www.channelnewsasia.com/news/commentary/wuhan-coronavirus-quarantine-lockdown-containment-mitigation-how-12394178?cid=fbcna&fbclid=IwAR2sulw4D6ighhdSyAa36ViBXZXiJNx59c-4aTs2XS0ulnqpeJBrHJmpaKk,06 Feb 2020 6:28 AM,Channel NewsAsia
The kampung spirit is still alive': Punggol residents step up amid coronavirus outbreak,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-virus-punggol-kampung-spirit-12397614?cid=fbcna&fbclid=IwAR2Hwb2Zjk5BWosSOtM3SKBwsvrK8hJWcaz-C5US49OPa6GaaDRv4opFB8k,06 Feb 2020 6:30 AM,Channel NewsAsia
Commentary: Are we overreacting to the novel coronavirus?,https://www.channelnewsasia.com/news/commentary/wuhan-coronavirus-china-sars-epidemic-outbreak-media-overreact-12394674?cid=fbcna&fbclid=IwAR3P9BrYJVDmsSpTxJ-mYiTC4IY6Hwb9dDtzRAGoRtj83TNbT4TModGRK44,06 Feb 2020 6:29 AM,Channel NewsAsia
China coronavirus death toll rises to 563,https://www.channelnewsasia.com/news/asia/china-coronavirus-death-toll-rises-to-563-12399726,06 Feb 2020 6:50 AM,Channel NewsAsia
"What we know about the 4 new coronavirus cases in Singapore, including 6-month-old baby",https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-coronavirus-new-cases-baby-12399000?cid=FBcna&fbclid=IwAR2arLwEihbf0aT6bYLk9s3Kw__hpf1ayNz3werB5p8y_IB1u61nOBS9xbA,06 Feb 2020 12:29 AM,Channel NewsAsia
China declines Cambodia PM's request to visit virus epicentre,https://www.channelnewsasia.com/news/asia/china-decline-cambodia-pm-wuhan-coronavirus-visit-12398392?cid=FBcna&fbclid=IwAR0aRQzJNrMhNazg9yLsqd7hN_Dj_67bv3NS7xrxssxa2cUiVjfOGDS_MUY,05 Feb 2020 10:06 PM,Channel NewsAsia
"More than 100 people attended meeting at Grand Hyatt Singapore linked to Malaysia, South Korea coronavirus cases",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-grand-hyatt-meeting-malaysia-korea-12398310?cid=FBcna&fbclid=IwAR1q_orJ0iAiosgIYXc3JcV65Q7uj6h2m_V8pOFRMUEV7WL1A-5psSSNUXo,05 Feb 2020 11:30 PM,Channel NewsAsia
Thousands of Chinese tourists stranded in Bali after flights suspended,https://www.channelnewsasia.com/news/asia/china-tourist-stranded-bali-flight-cancel-coronavirus-12398212?cid=FBcna&fbclid=IwAR3ZFpyxDYkboR9Iyj_d-s3p92qU8mqD_BgU_JmM5zf4zLLuaXcm3FnK2Bw,05 Feb 2020 9:49 PM,Channel NewsAsia
"Coronavirus outbreak: 6-month-old baby among 4 new cases in Singapore, 3 of them linked to local transmission cluster",https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-number-cases-12395928?cid=FBcna&fbclid=IwAR0RvBSOzyDA-vnLDjMb3WYilBH0US9mEFkkErnAemul_mrIeVfSpVqXb68,05 Feb 2020 10:26 PM,Channel NewsAsia
"Deep cleaning measures at Grand Hyatt hotel linked to Malaysian, South Korean coronavirus cases",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-grand-hyatt-deep-clean-12397284?cid=FBcna&fbclid=IwAR373aShd66PNh95kthxoW0amaRugaLS8zpP3yB4kDQ7GBVpsQtDMzfZYRM,05 Feb 2020 7:29 PM,Channel NewsAsia
"Singapore Red Cross raises more than S$100,000 in public donations to help communities in China affected by coronavirus",https://www.channelnewsasia.com/news/singapore/singapore-red-cross-wuhan-coronavirus-public-donations-china-12397716?cid=fbcna&fbclid=IwAR18W3kaNHmSa4BfIBSEIYQCoTXlffDUgWarV93k6kP8YlW2PmlYTrvjYVE,05 Feb 2020 7:45 PM,Channel NewsAsia
Coronavirus outbreak: Johor to suspend all state-organised events in February,https://www.channelnewsasia.com/news/asia/wuhan-virus-outbreak-johor-to-suspend-all-mass-gathering-events-12397508?cid=fbcna&fbclid=IwAR3BdOcUkPz_zcLnsTuVubklmg_YNEFYQxMd2oIGJ9K0LyKlZrHAAuD6N7w,05 Feb 2020 7:05 PM,Channel NewsAsia
"Data suggests novel coronavirus infections under-reported, exaggerating fatality rate",https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-death-rate-cases-12397358?cid=FBcna&fbclid=IwAR3ZuQ0bSMNRIYfOYkvXHvLeec41L7O_UbcJWMa1482Ff8dMUYlJ44dPU74,05 Feb 2020 6:25 PM,Channel NewsAsia
"Mothers may pass novel coronavirus to unborn children, say Chinese doctors",https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-pregnant-women-baby-12397512?cid=FBcna&fbclid=IwAR12EzNb-tstxvK0edXv-lxWUtosY6i4MeIFynpxpVf4Nof3C3d0w6yV9JA,05 Feb 2020 6:47 PM,Channel NewsAsia
Malaysian journalist charged over China coronavirus posts,https://www.channelnewsasia.com/news/asia/malaysian-journalist-charged-over-china-coronavirus-posts-12397286?cid=FBcna&fbclid=IwAR144AF8pzVsV9_DCICwes3JOJwWLPQU9s1PKIOKnHn5d4ZNYWbPxCw63a4,05 Feb 2020 6:11 PM,Channel NewsAsia
Coronavirus outbreak: Hong Kong to quarantine all arrivals from mainland China,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-hong-kong-quarantine-mainland-china-visitors-12396568?cid=facebook_comment_video_11052018_cna&fbclid=IwAR3jT3Xr5U9mxQaIMaEg0qGE28amQEv_SMpfcQvaYK2nckDjDVVdWfmoNQY,05 Feb 2020 5:11 PM,Channel NewsAsia
Thai taxi driver who had coronavirus tells Wuhan to keep fighting,https://www.channelnewsasia.com/news/asia/thailand-taxi-driver-coronavirus-tells-wuhan-keep-fighting-12397170?cid=FBcna&fbclid=IwAR0L4AoIjnm0yHqYHmCNfxeBmmRK22MAzzM8a_q_RwrkNXuXWyS6r0-m3Rw,05 Feb 2020 6:01 PM,Channel NewsAsia
Coronavirus outbreak: Britain charters final Wuhan evacuation flight,https://www.channelnewsasia.com/news/world/coronavirus-outbreak-britain-charters-final-wuhan-evacuation-12396692?cid=FBcna&fbclid=IwAR1qSLzHdDJx_FD407OQyDkgZ-UBFDwCOOoOXI1lwyta9l130Hin1XjozK0,05 Feb 2020 5:25 PM,Channel NewsAsia
Two Malaysians evacuated from Wuhan tested positive for novel coronavirus,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-malaysia-two-positive-evacuated-12396282?cid=FBcna&fbclid=IwAR2JfZj5mQnc2wmGVEDd3DJcJoqoSOO0BDAGc5fTbROBIgQRZevtY-T_4iI,05 Feb 2020 5:03 PM,Channel NewsAsia
"Wilted flowers, empty cafes: China's small businesses bear coronavirus costs",https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-china-small-business-bear-costs-shut-down-12396266?cid=FBcna&fbclid=IwAR1e9OejUfK4Lxu638WTtR-kT_uAclhewg4hCK2SP98lGKC9F4emkHYe86k,05 Feb 2020 4:53 PM,Channel NewsAsia
Vietnam setting up field hospitals for possible coronavirus influx,https://www.channelnewsasia.com/news/asia/vietnam-set-up-field-hospitals-coronavirus-influx-12396242?cid=FBcna&fbclid=IwAR1x-s5pUwxlzfC_N1Yzg-6w9PLgfnvAeFDFLMBEiSYujGF1VrfUqDdfkNg,05 Feb 2020 4:13 PM,Channel NewsAsia
"Cathay Pacific asks 27,000 employees to take unpaid leave as coronavirus outbreak hit demand",https://www.channelnewsasia.com/news/asia/hong-kong-airline-cathay-ask-staff-take-unpaid-leave-coronavirus-12395946?cid=FBcna&fbclid=IwAR1tVT-mhv0UngmlbdCan25eZKtpd9LZEyskp_UHPpFj_nMzavJUiRstBkY,05 Feb 2020 3:26 PM,Channel NewsAsia
More Chinese cities shut down as novel coronavirus death toll rises,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-more-china-cities-shut-hangzhou-zhejiang-hubei-12395706?cid=FBcna&fbclid=IwAR1zCwX8g-jnu1Imge4NO-diUxwhNhsYj7SBvACgM4y1DDl__kEGL8nprPg,05 Feb 2020 3:06 PM,Channel NewsAsia
Town councils step up cleaning at high human traffic areas to counter coronavirus,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-virus-enhanced-cleaning-masagos-nea-12395526?cid=FBcna&fbclid=IwAR227jAuCAqAofkoeezjKweVWSxdaujvBs4VKmRGI9W9XAfVqFG2agb8Zt4,05 Feb 2020 3:01 PM,Channel NewsAsia
Hong Kong medical staff strike for third day as locally transmitted coronavirus cases rise,https://www.channelnewsasia.com/news/asia/hong-kong-medical-staff-strike-wuhan-coronavirus-rise-cases-12395288?cid=FBcna&fbclid=IwAR3Aa-mfaESSOMrg77Sza0FIrPBvQZxqb46nB397p6Sz9qziPtn9kdq5p3Q,05 Feb 2020 1:43 PM,Channel NewsAsia
"Shortage of face masks in JB amid coronavirus scare, some retailers selling above price ceiling",https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-masks-malaysia-johor-bahru-price-ceiling-12388090?cid=FBcna&fbclid=IwAR1K-4uo-zSxaHtViPXn3qxopj3H7KvHpNLUpmqFKb_-ntKzukz9W4RtlvU,05 Feb 2020 12:28 PM,Channel NewsAsia
The ‘novel coronavirus’ could get an official name in days: Report,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-who-scientists-work-to-give-official-name-12394928?cid=FBcna&fbclid=IwAR3Snw_4Uco3UlwI-pm-v35WkCL7tKGQmi9tdLhaN9u54W1ZiTW5hPoPBRI,05 Feb 2020 12:25 PM,Channel NewsAsia
3 new coronavirus cases in South Korea; 2 men had travelled to Singapore for conference,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-south-korea-cases-12394934?cid=FBcna&fbclid=IwAR2Jo08E5ymwmTRiK_I9hKYdCV7THf5j65gXy02fzHheRT3MbBjLw6oK7Qk,05 Feb 2020 12:12 PM,Channel NewsAsia
Repatriated Belgian tests positive for novel coronavirus,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-virus-belgium-tests-positive-china-12394176?cid=FBcna&fbclid=IwAR34OUWX2MB5_1HZ7aaTgIzgT754ZW5i1PQIXGOmem9n3qSnl5K2j1NCn1o,05 Feb 2020 11:05 AM,Channel NewsAsia
Sufficient room’ within policy band for easing in line with coronavirus economic impact: MAS,https://www.channelnewsasia.com/news/business/sufficient-room-within-policy-band-for-easing-coronavirus-mas-12394530,05 Feb 2020 11:05 AM,Channel NewsAsia
World has 'window of opportunity' to halt virus spread: WHO chief,https://www.channelnewsasia.com/news/world/wuhan-virus-who-china-data-window-of-opportunity-12392968?cid=FBcna&fbclid=IwAR15QSCL9P8OLlzlk5N2riqS6PKU5zVH7AQQYlHWzWNScV71VY8_b4kZB-A,05 Feb 2020 3:48 AM,Channel NewsAsia
At least 10 on Japan cruise ship test positive for novel coronavirus,https://www.channelnewsasia.com/news/asia/japan-wuhan-coronavirus-cruise-ship-quarantine-virus-12393602?cid=FBcna&fbclid=IwAR125Rxrz2DHznKIARmkOuyvVh_uKxB_eNAyaGeMbCLskcfsGPoI3r-TFpk,05 Feb 2020 8:08 AM,Channel NewsAsia
China coronavirus death toll rises to 490 as more countries confirm local transmission,https://www.channelnewsasia.com/news/asia/wuhan-virus-death-toll-cases-coronavirus-china-12393418?cid=FBcna&fbclid=IwAR0tarwTZ28Or2s-bcvqeaSbJgsaWn-80ma4L4c0iT999RWCxk5HYK4rolI,05 Feb 2020 7:01 AM,Channel NewsAsia
Indonesian health ministry says lab has all needed equipment to detect novel coronavirus,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-indonesia-testing-kits-laboratory-12389198?cid=FBcna&fbclid=IwAR0IvPUQgGyQwys6kylEm3cqPpeu2LLxmRvIiKTPlfR6xYCOfpMpBNOa36U,05 Feb 2020 6:35 AM,Channel NewsAsia
Commentary: Hot and humid weather may end the novel coronavirus – as well as the development of a vaccine,https://www.channelnewsasia.com/news/commentary/hot-climate-wuhan-virus-vaccine-12389694?cid=FBcna&fbclid=IwAR2BwLDLy5Tcsw5pm4OOysm2I7hUDKqut05uK7OWA4fqfWGWRLeQYM7M5jA,05 Feb 2020 6:32 AM,Channel NewsAsia
Four-year-old coronavirus patient in Malaysia discharged from hospital,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-virus-girl-malaysia-recover-12392238?cid=FBcna&fbclid=IwAR1UAnfaw4k-zowoaMQxIPYG5HyFvrQb2gZZljcd9v8sqBlXVOpIw5huF_g,05 Feb 2020 12:45 AM,Channel NewsAsia
Coronavirus outbreak: Singapore to provide S$1 million in seed funding to groups helping China communities,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-support-aid-efforts-coronavirus-12392090?cid=FBcna&fbclid=IwAR0tyXVGvYW6K8IJ-v9uzH3VcO2eChZLel7EaUdrCMptW8AfsS_Fvbc0ONA,05 Feb 2020 12:20 AM,Channel NewsAsia
Canadian jet forced back to airport after passenger falsely claims he has coronavirus,https://www.channelnewsasia.com/news/world/canadian-westjet-passenger-falsely-claim-coronavirus-12392074?cid=FBcna&fbclid=IwAR32mn26qdYthenntVorFQYjQoSNCaAnwWTJeU6kVYusUmdi-ORM5FkjEaM,04 Feb 2020 11:30 PM,Channel NewsAsia
HIV drugs used to treat 'small number' of coronavirus patients: MOH chief health scientist,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-virus-singapore-hiv-drugs-treat-12391030?cid=FBcna&fbclid=IwAR0S0ZkCCjbqcMqcsmgQw9XpSqHkaPwdGJ376_tdPbeLiU6KtaIHUPvKh34,04 Feb 2020 11:04 PM,Channel NewsAsia
Novel coronavirus patient discharged from NCID after recovery: MOH,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-patient-discharged-ncid-moh-12390714,04 Feb 2020 9:07 PM,Channel NewsAsia
Coronavirus outbreak: Britain tells its citizens to leave China after airlines suspend flights,https://www.channelnewsasia.com/news/world/britain-tells-citizens-leave-china-wuhan-coronavirus-12391026?cid=FBcna&fbclid=IwAR3G4wpWzpVuZ5-w1x1xP_qwqGJ56eKk3WRzIRgOCYInty2M9DQq6gQocpI,04 Feb 2020 9:00 PM,Channel NewsAsia
Cambodian PM says he will visit students in China's Wuhan for moral support,https://www.channelnewsasia.com/news/asia/cambodia-pm-visit-students-china-wuhan-coronavirus-moral-support-12390216?cid=FBcna&fbclid=IwAR2zyXGLvPuxQTgNCu-8z0PtZZ56q9kGG-7O6NWhCz9bX5uZL5vF7e8hUF4,04 Feb 2020 6:08 PM,Channel NewsAsia
What we know about the people who died from the novel coronavirus,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-what-we-know-about-the-fatalities-12390814?cid=FBcna&fbclid=IwAR1eL3quz3F6XBtamCa9ct7kymyqJxSewhkidSuFZrhCV5C-GHWpXeSyXIo,04 Feb 2020 8:05 PM,Channel NewsAsia
"Thailand confirms 6 new cases of novel coronavirus, including 4 Thais",https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-thailand-new-cases-citizens-japan-drivers-12390442?cid=FBcna&fbclid=IwAR3M3dJtLRjlsBO2qsmndPXnU8BWTjS4lA1VAa9TPlK7SkDP46VXlnPBers,04 Feb 2020 5:53 PM,Channel NewsAsia
"Coronavirus outbreak: Schools, eldercare facilities to suspend large gatherings after first local transmission",https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-enhanced-measures-schools-businesses-12389986?cid=FBcna&fbclid=IwAR0T_JTFC_A4QsDmkCJcP9L7c05rMvZvMWPBpBW7Y5dA6ROQi6WR29p1e2M,04 Feb 2020 6:00 PM,Channel NewsAsia
What we know about the locally transmitted coronavirus cases in Singapore,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-virus-new-cases-local-transmission-12390118?cid=FBcna&fbclid=IwAR290gYRoAhlYpP8246M6E92fbEWQPwHevuogAauDOp2mPbT0PE_oI_J-Qc,04 Feb 2020 6:00 PM,Channel NewsAsia
4 locally transmitted cases among new coronavirus patients in Singapore,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-community-spread-tourists-12389314?cid=FBcna&fbclid=IwAR3L2-mPFMOSiSw0JwszuJUR8GxAl-1as-tMprqx6poBb6lDIiJrO3AZ8Kk,04 Feb 2020 6:00 PM,Channel NewsAsia
Novel coronavirus spreads fear and racism worldwide,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-spreads-fear-racism-worldwide-travel-ban-12389834?cid=FBcna&fbclid=IwAR3Yykcya51EyhvSb1MN9ntS3vs9sxgdIAc3fprU3nHRUj4MgVKqcvghHu4,04 Feb 2020 4:07 PM,Channel NewsAsia
Taiwan calls China 'vile' for limiting WHO access during virus outbreak,https://www.channelnewsasia.com/news/asia/wuhan-virus-taiwan-china-limit-who-access-12389416?cid=FBcna&fbclid=IwAR1vkQ9zOrItR2dpNpTP3upiCCsO7E85MuD4hGbUHXwaGV2rbPSBEPmuwM4,04 Feb 2020 3:26 PM,Channel NewsAsia
Malaysia confirms first citizen case of novel coronavirus; man was in Singapore for meeting attended by Chinese delegates,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-novel-coronavirus-macau-casino-suspend-12389478?cid=FBcna&fbclid=IwAR0Ab28-Mk0pggApXaFa5oyri6spd0OSyS55uftVqJfa9DtJxxrUWiPP6e8,04 Feb 2020 2:44 PM,Channel NewsAsia
Macau to suspend casino operations for 2 weeks to curb spread of novel coronavirus,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-novel-coronavirus-macau-casino-suspend-12389478?cid=FBcna&fbclid=IwAR0Ab28-Mk0pggApXaFa5oyri6spd0OSyS55uftVqJfa9DtJxxrUWiPP6e8,04 Feb 2020 2:22 PM,Channel NewsAsia
South Korean tourist tests positive for novel coronavirus after visiting Thailand,https://www.channelnewsasia.com/news/asia/south-korea-woman-wuhan-coronavirus-positive-thailand-visit-12389294,04 Feb 2020 1:38 PM,Channel NewsAsia
China opens novel coronavirus hospital built from scratch in under two weeks,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-china-opens-hospital-built-two-weeks-hubei-12388804?cid=FBcna&fbclid=IwAR1UfCoBtSzUcVvIByMb11mwuOmSPLfJC8oRJyDtEX0wRhO_FWNUmAwB9Tg,04 Feb 2020 12:54 PM,Channel NewsAsia
"Hangzhou and Taizhou, cities far from virus epicentre, implement travel restrictions",https://www.channelnewsasia.com/news/asia/hangzhou-and-taizhou-cities-far-from-virus-epicentre-implement-12388714,04 Feb 2020 12:42 PM,Channel NewsAsia
Have a good cry but no boozing: Expert tips for coronavirus-stressed China,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-tips-stressed-china-cry-exercise-no-booze-12388514?cid=FBcna&fbclid=IwAR2EXuN2T46L59hAMve3k7LNMJFBKJ-8fEJxNSeZfaT2viRD4j_9jjewzjI,04 Feb 2020 11:54 AM,Channel NewsAsia
Travel insurance may not cover cancellations over coronavirus outbreak: Experts,https://www.channelnewsasia.com/news/world/travel-insurance-claims-novel-coronavirus-wuhan-outbreak-12388436?cid=FBcna&fbclid=IwAR04RtpbOGpIwhrivHR3S7naSvWLczCq_gM8r9ULBFKJzhUA2uC4us9nVYo,04 Feb 2020 11:18 AM,Channel NewsAsia
NATAS postpones travel fair amid concerns that coronavirus outbreak will dampen turnout,https://www.channelnewsasia.com/news/singapore/wuhan-virus-china-coronavirus-natas-travel-fair-12388428?cid=FBcna&fbclid=IwAR01vCFsPGYfWCHGv_aNsRs8Jit8FcHR6WAiKYXnq1Nd5TrxnJNKF5hUB2w,04 Feb 2020 11:01 AM,Channel NewsAsia
Malaysians evacuated from Wuhan arrive at KLIA,https://www.channelnewsasia.com/news/asia/malaysia-evacuate-wuhan-coronavirus-arrive-klia-quarantine-12388318?cid=FBcna&fbclid=IwAR3nFdU683_bnNYVWzQ0tsUcL3FMmPkQdiiomEMxBLoYpOODzSfuP497aIY,04 Feb 2020 10:42 AM,Channel NewsAsia
Hong Kong reports first coronavirus death,https://www.channelnewsasia.com/news/asia/wuhan-virus-hong-kong-death-china-infection-toll-12388372?cid=FBcna&fbclid=IwAR0gwPzwWiChshDUsAi8G2DTJuBHl0HbOIzYoChHbLb07MrmFzvk4Kg2vHQ,04 Feb 2020 10:43 AM,Channel NewsAsia
China to allow in US health experts as coronavirus shows no sign of slowing,https://www.channelnewsasia.com/news/asia/wuhan-virus-us-health-experts-who-12384350?cid=FBcna&fbclid=IwAR2pqnyXtVjWX_e47Rn6ElScm4_gIB_tuZp9ghHGTFO8POoZjqpEiuRKeig,04 Feb 2020 8:26 AM,Channel NewsAsia
