Title,Source Link,Time of the post,Source Name
"Mystery illness in Chinese city not Sars, say authorities",https://www.theguardian.com/world/2020/jan/05/mystery-illness-to-strike-chinese-city-is-not-sars-say-authorities-wuhan,05 Jan 2020 2:25PM,The Guardian
China mystery illness: travellers checked as officials fear lunar new year could spread bug,https://www.theguardian.com/world/2020/jan/07/china-mystery-illness-travellers-checked-as-officials-fear-lunar-new-year-could-spread-bug?fbclid=IwAR3ozJgahpkvzfh9lAqn5SBhdDNEPG9wVuYNfa35C_qdtC_scbwFnFwe2As,07 Jan 2020 6:34AM,The Guardian
Japan confirms first case of new China coronavirus strain,https://www.theguardian.com/world/2020/jan/16/japan-confirms-first-case-of-new-china-coronavirus-strain?fbclid=IwAR1_6GDfI75tYcqw30liw-E0kDgFhmiNlyssZlWzBgldfzJQJiaIrfVQyRw,16 Jan 2020 5:25AM,The Guardian
China confirms human-to-human transmission of coronavirus,https://www.theguardian.com/world/2020/jan/20/coronavirus-spreads-to-beijing-as-china-confirms-new-cases?fbclid=IwAR3B5T0FYoQFu0rXdkDMlQrZ_mkPandjz7W9Vaad5gc1uey_ItO1Ms1Nvmw,21 Jan 2020 4:28AM,The Guardian
Coronavirus: health officials announce first known US case,https://www.theguardian.com/society/2020/jan/21/coronavirus-us-cdc-case-china-health?fbclid=IwAR1wIKpwr4jMb8iPffPsraWhX27kjZvTY1X8EeohPjsZi0wzfy7b1E8ADBw,21 Jan 2020 20:00PM,The Guardian
Coronavirus: Heathrow to screen arrivals from affected Chinese region,https://www.theguardian.com/science/2020/jan/22/coronavirus-heathrow-to-create-separate-arrival-area?fbclid=IwAR1pOh8oMiTP5AisUq86svUTdBr_j4mbV9EbqJ4L1YEIZwsjNQQ3Df3gEWw,22 Jan 2020 14:28PM,The Guardian
Coronavirus: China bars 11m residents from leaving city at centre of outbreak,https://www.theguardian.com/world/2020/jan/22/coronavirus-china-measures-rein-spread-mutate-disease-death-toll?fbclid=IwAR399GzqhdLsGp1ZwjYL7lYddjL-jcUF7JrzgOIDYTPOrqIhTdZqwYa1eAo,23 Jan 2020 3:56AM,The Guardian
Thursday briefing: Panic in Wuhan as city is locked down,https://www.theguardian.com/world/2020/jan/23/thursday-briefing-panic-in-wuhan-as-city-is-locked-down?fbclid=IwAR2ruib9n5phJg7UMortOieNAlMlhoXY-wGrotqw4iMLHmc9fVu5zrIyQ64,23 Jan 2020 6:30AM,The Guardian
Coronavirus: panic and anger in Wuhan as China orders city into lockdown,https://www.theguardian.com/world/2020/jan/23/coronavirus-panic-and-anger-in-wuhan-as-china-orders-city-into-lockdown?fbclid=IwAR3s-FevrlrfN9HVwcbcZhfCvcaDENd3DW3W_WxbEYYpnhmrr4uwJz7FbxQ,23 Jan 2020 11:30AM,The Guardian
China’s response to the coronavirus shows what it learned from the Sars cover-up,https://www.theguardian.com/global/commentisfree/2020/jan/23/china-coronavirus-sars-cover-up-beijing-disease-dissent?fbclid=IwAR0xe4zHD1N8Nw4iqNaUu1C7lsagKS0GSdZ5aVqe98Cz7mnAAvVE2nWsJk8,23 Jan 2020 15:30PM,The Guardian
Chinese tourist says she evaded coronavirus checks to fly to France,https://www.theguardian.com/science/2020/jan/23/chinese-tourist-says-she-evaded-coronavirus-checks-fly-france?fbclid=IwAR1R2RyDXnEUi0L4RuYYdvNLDb1AZ1QRif_g_AcugIENy8SdVPLfpDQAyuA,23 Jan 2020 16:46PM,The Guardian
Fourteen people in UK tested for coronavirus,https://www.theguardian.com/science/2020/jan/23/increased-likelihood-coronavirus-uk-health-secretary-matt-hancock?fbclid=IwAR2c6cyndLRd_1VHjqaQl5MJMWgKCA1ZVUrJ-kmgt0OEocQLnjtAaBrPXgs,23 Jan 2020 19:27PM,The Guardian
China virus: ten cities locked down and Beijing festivities scrapped,https://www.theguardian.com/world/2020/jan/23/coronavirus-panic-spreads-in-china-with-three-cities-in-lockdown?fbclid=IwAR34vegB9j0nWdqVsLLn0UqP0IYRKIg_N_Q7YcmJGKyGmV14CecHjFOa3sY,24 Jan 2020 1:05AM,The Guardian
Chinese city plans to build coronavirus hospital in days,https://www.theguardian.com/science/2020/jan/24/chinese-city-wuhan-plans-to-build-coronavirus-hospital-in-six-days?fbclid=IwAR0HeZtCs3Ls3t2v8mziON9MuyA4p7dxokOjfOlcpCQ_AAMITrZ6QivPAyw,24 Jan 2020 12:14PM,The Guardian
Life under lockdown in China: hospital queues and empty streets,https://www.theguardian.com/science/2020/jan/24/life-under-lockdown-in-china-hospital-queues-and-empty-streets?fbclid=IwAR1POH13m-bWMKKheHdIRso7TvkybDwh_T6X7UDPTxetPJctOICjgjo-GGQ,24 Jan 2020 12:36PM,The Guardian
China coronavirus: 14 test negative in UK as military doctors sent to Wuhan – as it happened,https://www.theguardian.com/science/live/2020/jan/23/coronavirus-china-virus-flu-scotland-testing-wuhan-live-news-updates?fbclid=IwAR2pcsNtQNGw0_QE6ZcaLPnfaYDg4I2eyse1UNqfbRxAgtK7yxqheXInQqE,24 Jan 2020 17:33PM,The Guardian
Coronavirus: death toll reaches 41 in China with first cases in Europe,https://www.theguardian.com/science/2020/jan/24/coronavirus-chinese-hospitals-in-chaos-as-lockdown-spreads-to-affect-25m-people?fbclid=IwAR3iXtWEcORCsqD3nN2uScUwVvnZleu3ryt82N6rqos_2e6d3CUGorPLlWA,24 Jan 2020 19:30PM,The Guardian
Race begins to build Chinese coronavirus hospital in 10 days – video,https://www.theguardian.com/science/video/2020/jan/25/race-begins-to-build-chinese-coronavirus-hospital-in-10-days-video?fbclid=IwAR2YlUdQ3cggdkA9LDBzYGMRPrRJ1NiArx6_1N43K960zQMaLkzntmW_Q7k,25 Jan 2020 7:00AM,The Guardian
Coronavirus outbreak: doctor in Wuhan hospital dies as army medics flown in,https://www.theguardian.com/science/2020/jan/25/coronavirus-outbreak-doctor-in-wuhan-hospital-dies-as-army-medics-flown-in?fbclid=IwAR3oSXNgRRHN_sZfSXnoJw0adDtJwemlOkLERDeGzlEndozUa1PvjDVdnag,25 Jan 2020 7:30AM,The Guardian
Coronavirus: from one food market to global panic,https://www.theguardian.com/science/2020/jan/26/coronavirus-from-food-market-to-global-panic-response-mistakes?fbclid=IwAR2x3LgtHVtof_mz8UF27yHzqx6etsT9-voK4cPgWPIw1JZP3pMgWQMf94U,26 Jan 2020 4:20AM,The Guardian
Where has coronavirus spread?,https://www.theguardian.com/science/2020/jan/22/where-has-coronavirus-spread?fbclid=IwAR1LzYkGa69DnW51tJw_z33WdKNRnGEYxRRvO7-V8EXm8cUrYiMWINLio-c,26 Jan 2020 17:15PM,The Guardian
"Coronavirus's ability to spread getting stronger, China suggests",https://www.theguardian.com/science/2020/jan/26/china-bans-long-distance-buses-from-entering-three-cities-to-contain-coronavirus-spread?fbclid=IwAR0c9LpJLUoJ4eUycm09D2uPv32BVAbXWPdAcUBK49GoSgGDDAFF2HpnuX0,26 Jan 2020 19:15PM,The Guardian
"Coronavirus: 100,000 may already be infected, experts warn",https://www.theguardian.com/science/2020/jan/26/coronavirus-could-infect-100000-globally-experts-warn?fbclid=IwAR1dw5GKcbRNUUkrTzYpRedJrIYwqpoVapiUqgGOKNjrNGvwCWPoVqF_PJ0,26 Jan 2020 21:47PM,The Guardian
Britons in Wuhan decry ‘pathetic’ UK government coronavirus advice,https://www.theguardian.com/science/2020/jan/27/coronavirus-outbreak-britons-trapped-in-wuhan-decry-pathetic-government-advice?fbclid=IwAR3Y2u-sixuWM4TE1xRZHdBLO27IUzvPyzvEod0ZuOzEB1chofNHIXGlmpM,27 Jan 2020 12:50PM,The Guardian
China coronavirus: mayor of Wuhan admits mistakes,https://www.theguardian.com/science/2020/jan/27/china-coronavirus-who-to-hold-special-meeting-in-beijing-as-death-toll-jumps?fbclid=IwAR0oCl9iXAvmpTcZ32-c35r5x-gCHsZr-7gb-ectYkbzF6xTKRDz82t125w,27 Jan 2020 14:29PM,The Guardian
Coronavirus: Britain under pressure to evacuate UK nationals,https://www.theguardian.com/science/2020/jan/27/coronovirus-britain-under-pressure-to-evacuate-uk-nationals?fbclid=IwAR2LceZ0NOihMme8SHoaiA3y7Uo0cHcavwxV1PMko2lDNKxYLGXo8b8VDuM,27 Jan 2020 15:16PM,The Guardian
China virus death toll hits 82 as 73 test negative in UK – as it happened,https://www.theguardian.com/world/live/2020/jan/27/coronavirus-china-death-toll-climbs-to-80-with-more-than-2700-cases-live-updates?fbclid=IwAR0bD2Srivn10btBcbdnf7db4I8AxGjP_papzRMackNthivdd2OO6aYG4oA,27 Jan 2020 19:09PM,The Guardian
Coronavirus: Foreign Office finalising plans to evacuate Britons,https://www.theguardian.com/science/2020/jan/28/coronavirus-britain-prepares-to-evacuate-citizens-from-hubei?fbclid=IwAR26FLxqWPnxaTD9gKUFdZqCdQY_qJLqsgq7gyZNTXQyMp_LdxvsfPfBN1g,28 Jan 2020 11:56AM,The Guardian
Hong Kong cuts China transport links as coronavirus toll mounts,https://www.theguardian.com/science/2020/jan/28/wuhan-evacuation-us-and-japan-to-fly-out-citizens-as-coronavirus-deaths-rise?fbclid=IwAR1VTjXjll0T5c3jxuh_V5NtF4Lbr3a7i7z_LFbNae0YRNnJuF0Gdw8AtdE,28 Jan 2020 12:03PM,The Guardian
Germany confirms first human transmission of Wuhan virus in Europe – as it happened,https://www.theguardian.com/science/live/2020/jan/28/coronavirus-first-death-in-beijing-as-us-issues-new-china-travel-warning-live-updates?fbclid=IwAR3Ci_nQkbP6i_Ro9xKH9LbI2b09lwi1Iif0qccdfxXkpmB8TgvdP12BmZk,28 Jan 2020 23:32PM,The Guardian
Our worst nightmare': UK family to be split up in coronavirus evacuations,https://www.theguardian.com/world/2020/jan/29/our-worst-nightmare-uk-family-face-being-split-up-as-coronavirus-evacuations-begin?fbclid=IwAR3i0dr9747L1RVR6pHHd6f_IIZ27F0z0iOrxlWjxU23ljB1Cc2-UP1UMns,29 Jan 2020 7:47AM,The Guardian
Coronavirus: Japan and US fly citizens home as China death toll jumps,https://www.theguardian.com/world/2020/jan/29/coronavirus-evacuations-begin-as-china-cases-outstrip-sars?fbclid=IwAR1LyAxGc5tLK0-IpbTZ_tvnu9chbZi-vqyymttUCkDmj7f0eUNu5OsB24w,29 Jan 2020 13:05PM,The Guardian
Coronavirus and the voices of Wuhan: 'My anxiety is increasing day by day' – video,https://www.theguardian.com/world/video/2020/jan/29/my-anxiety-is-increasing-day-by-day-the-voices-of-wuhan-video?fbclid=IwAR3EaC3pmbd7fgS-POF50dA3b0YCYMKd1anaE3w_lxMNvHs6dMvYYdljXFU,29 Jan 2020 18:05PM,The Guardian
"Britons returning from China to be 'safely isolated' for 14 days, says Hancock – as it happened",https://www.theguardian.com/world/live/2020/jan/29/coronavirus-live-updates-china-wuhan-death-toll-cases-symptoms-treatment-evacuation-us-japanese-citizens-latest-news?fbclid=IwAR177tNHNtdtwYj2Ca5b5JwW3sxAH660O56sT7wIMwacdZ4BcKkRbEhRn70,29 Jan 2020 19:12PM,The Guardian
"Whole world must be ready to deal with coronavirus, says WHO",https://www.theguardian.com/world/2020/jan/29/whole-world-must-be-ready-to-deal-with-coronavirus-says-who?fbclid=IwAR2CLOJbujJHmosL15C897ofiK-G1nOLdABXaWRi988spGRhKrEvvg6blXE,29 Jan 2020 19:39PM,The Guardian
"Make ban on Chinese wildlife markets permanent, says environment expert",https://www.theguardian.com/environment/2020/jan/30/make-coronavirus-ban-on-chinese-wildlife-markets-permanent-says-environment-expert-aoe?fbclid=IwAR2H6hEbqP9y4M0fFBtrux9KuBuhhwi4Xu-IjuOoHal5lLzSFP-UR3sXTtg,30 Jan 2020 7:00AM,The Guardian
When old films go viral: how coronavirus gave Contagion an unexpected afterlife,https://www.theguardian.com/film/2020/jan/30/what-can-we-learn-about-coronavirus-from-watching-contagion?fbclid=IwAR1xN5tkBuNkPo2l1POx3IU4zoO5Xbf10zvmu-HpL-5iijF7CSDBaPSkn48,30 Jan 2020 14:00PM,The Guardian
"6,000 passengers stuck on cruise ship in Italy over coronavirus fears",https://www.theguardian.com/world/2020/jan/30/6000-passengers-stuck-on-cruise-ship-in-italy-over-coronavirus-fears?fbclid=IwAR0YgKMJTuJRE_SQ2b_XCulqqTIszgYbm3Pd0L7eK4eUZruy45mTXDeVp54,30 Jan 2020 18:32PM,The Guardian
Coronavirus deaths leap in China as countries struggle to evacuate citizens,https://www.theguardian.com/world/2020/jan/30/coronavirus-deaths-leap-in-china-as-countries-struggle-to-evacuate-citizens?fbclid=IwAR1-Vrsc4a-AOsAefx2-gTwMjBgF1wNdfKeEwQ8v9JvYG55pXNcRRzvMDbU,30 Jan 2020 18:35PM,The Guardian
Coronavirus: Britons to be quarantined in Wirral after arriving from Wuhan,https://www.theguardian.com/world/2020/jan/30/coronavirus-hundreds-stranded-wuhan-uk-evacuation-flight-delayed?fbclid=IwAR2KNeKu3jmQvzH4JNx5MchZTjlINYINi9VFVjJDPASr429beAo0rdZ9JLo,30 Jan 2020 20:07PM,The Guardian
WHO declares coronavirus a global health emergency,https://www.theguardian.com/world/2020/jan/30/who-declares-coronavirus-a-global-health-emergency?fbclid=IwAR2ZPLRnkMxH8nz0S0UcdZzSOu60-deTmvfH2YY5enJnLN-8WFIzdFapGgY,30 Jan 2020 22:00PM,The Guardian
Virus death toll reaches 213 in China – as it happened,https://www.theguardian.com/world/live/2020/jan/30/coronavirus-live-updates-china-death-toll-wuhan-evacuation-foreign-nationals-citizens-latest-news?fbclid=IwAR1ZuscAs4n84PZxY8C2lIYHL4-OMpVWyCT0DlPzS079C0WJ9lTTKECQZh8,31 Jan 2020 2:26AM,The Guardian
"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum?fbclid=IwAR1udOkoDl8-kUe43wY8CVnjWdyh78YV9eqIZEiHI1BHJLo6ohdk3KoOMjw,31 Jan 2020 3:23AM,The Guardian
Britons in Wuhan miss evacuation flight after ‘confusing messages’,https://www.theguardian.com/world/2020/jan/31/british-man-and-his-family-miss-evacuation-flight-from-wuhan?fbclid=IwAR2Ez3h5aYs9eLUW43ovyLGZ6QiA16bhmokvVqkYqmcPMT0NMmNU-s0xjh4,31 Jan 2020 11:55AM,The Guardian
Outbreaks of xenophobia in west as coronavirus spreads,https://www.theguardian.com/world/2020/jan/31/spate-of-anti-chinese-incidents-in-italy-amid-coronavirus-panic?fbclid=IwAR0rKALKj5HWj5UHx-FpMnnFNVBUQxNCo3G1cSQ4v4JCFSIla8ojqYJmgX4,31 Jan 2020 12:28PM,The Guardian
"Our face mask future: Do they really help beat flu, coronavirus and pollution?",https://www.theguardian.com/world/2020/jan/31/our-face-mask-future-do-they-really-help-beat-flu-coronavirus-and-pollution?fbclid=IwAR1-YD-nkuG3rvTJ2sdN1n3sJyokBETpOEUgIlcecG5CiakkIEdXeKR014A,31 Jan 2020 17:16PM,The Guardian
