Index,Title,Source Link,Time of the post,Source Name
0,China mystery illness: travellers checked as officials fear lunar new year could spread bug,https://www.theguardian.com/world/2020/jan/07/china-mystery-illness-travellers-checked-as-officials-fear-lunar-new-year-could-spread-bug,07-01-2020 14:34:32,The Guardian
1,China's Sars-like illness worries health experts,https://www.theguardian.com/world/2020/jan/09/chinas-sars-like-illness-worries-health-experts,10-01-2020 3:10:17,The Guardian
2,Guardian Cities: farewell from the editor,https://www.theguardian.com/cities/2020/jan/13/guardian-cities-farewell-from-the-editor,13-01-2020 14:02:56,The Guardian
3,Case of mystery Sars-like illness found outside China for first time,https://www.theguardian.com/world/2020/jan/14/case-of-mystery-coronavirus-found-outside-china-for-the-first-time-thailand,14-01-2020 14:44:02,The Guardian
4,The case for ... making low-tech 'dumb' cities instead of 'smart' ones,https://www.theguardian.com/cities/2020/jan/15/the-case-for-making-low-tech-dumb-cities-instead-of-smart-ones,15-01-2020 15:00:07,The Guardian
5,Expert questions effectiveness of coronavirus airport screening,https://www.theguardian.com/society/2020/jan/18/expert-questions-effectiveness-airport-screening-new-coronavirus,19-01-2020 03:20:36,The Guardian
6,No screening for new Sars-like virus at UK airports – yet,https://www.theguardian.com/world/2020/jan/18/no-airport-screening-for-new-sars-like-virus-yet-china,19-01-2020 03:20:36,The Guardian
7,Coronavirus: Australia's top health official says there is 'no current need' to enhance airport screening,https://www.theguardian.com/australia-news/2020/jan/18/coronavirus-australias-top-health-official-says-there-is-no-current-need-to-enhance-airport-screening,18-01-2020 18:29:33,The Guardian
8,Coronavirus: what airport measures are in place to detect sick passengers?,https://www.theguardian.com/world/2020/jan/18/coronavirus-what-airport-measures-are-in-place-to-detect-for-sick-passengers,18-01-2020 17:21:23,The Guardian
9,"Morning mail: sports grants scandal, new Isis leader named, made-for-Insta art",https://www.theguardian.com/australia-news/2020/jan/21/morning-mail-sports-grants-scandal-new-isis-leader-named-made-for-insta-art,21-01-2020 04:01:38,The Guardian
10,"Morning mail: Coalition climate unease, impeachment trial, ocean pools",https://www.theguardian.com/australia-news/2020/jan/22/morning-mail-coalition-climate-unease-impeachment-trial-ocean-pools,22-01-2020 04:09:02,The Guardian
