Index,Title,Source Link,Time of the post,Source Name
0,"MOH to screen travellers from Wuhan, China following ‘unexplained’ pneumonia outbreak",http://theindependent.sg/moh-to-screen-travellers-from-wuhan-china-following-unexplained-pneumonia-outbreak/,03/01/2020,The Independent Singapore
1,US warns citizens in China over mystery pneumonia outbreak,http://theindependent.sg/us-warns-citizens-in-china-over-mystery-pneumonia-outbreak,07/01/2020,The Independent Singapore
2,China believes new virus behind mystery pneumonia outbreak,http://theindependent.sg/china-believes-new-virus-behind-mystery-pneumonia-outbreak,09/01/2020,The Independent Singapore
3,WHO: No travel restriction to China despite first death caused by Wuhan pneumonia outbreak,http://theindependent.sg/who-no-travel-restriction-to-china-despite-first-death-caused-by-wuhan-pneumonia-outbreak,13/01/2020,The Independent Singapore
4,Elderly tourist from China is first recorded case of Wuhan virus outside the country,http://theindependent.sg/elderly-tourist-from-china-is-first-recorded-case-of-wuhan-virus-outside-the-country,16/01/2020,The Independent Singapore
5,Thais find second case linked to China mystery virus,http://theindependent.sg/thais-find-second-case-linked-to-china-mystery-virus,17/01/2020,The Independent Singapore
6,"SARS-like virus spreads in China, reaches another Asian country",http://theindependent.sg/sars-like-virus-spreads-in-china-reaches-another-asian-country,20/01/2020,The Independent Singapore
7,"Wuhan virus likely to spread to Singapore, says Health GPC Chairman",http://theindependent.sg/wuhan-virus-likely-to-spread-to-singapore-says-health-gpc-chairman,22/01/2020,The Independent Singapore
8,Death toll from SARS-like China virus rises to 6: official,http://theindependent.sg/death-toll-from-sars-like-china-virus-rises-to-6-official,21/01/2020,The Independent Singapore
9,"9 dead, fears that Wuhan virus may become wide spread over the festive season increase",http://theindependent.sg/9-dead-fears-that-wuhan-virus-may-become-wide-spread-over-the-festive-season-increase,22/01/2020,The Independent Singapore
10,What we know so far about the new China virus,http://theindependent.sg/what-we-know-so-far-about-the-new-china-virus,23/01/2020,The Independent Singapore
11,Hong Kong turns holiday camps into quarantine zones as virus fears spike,http://theindependent.sg/hong-kong-turns-holiday-camps-into-quarantine-zones-as-virus-fears-spike,23/01/2020,The Independent Singapore
12,Singapore Govt promises to spare no effort to defend and protect citizens from Wuhan virus,http://theindependent.sg/singapore-govt-promises-to-spare-no-effort-to-defend-and-protect-citizens-from-wuhan-virus,24/01/2020,The Independent Singapore
13,Scoot suspends all flights to Wuhan,http://theindependent.sg/scoot-suspends-all-flights-to-wuhan,24/01/2020,The Independent Singapore
14,"China expands transport ban to 13 cities, 41 mln affected",http://theindependent.sg/china-expands-transport-ban-to-13-cities-41-mln-affected,24/01/2020,The Independent Singapore
15,China implements drastic measures to stop spread of Wuhan virus but more cases are being reported,http://theindependent.sg/china-implements-drastic-measures-to-stop-spread-of-wuhan-virus-but-more-cases-are-being-reported,25/01/2020,The Independent Singapore
16,PM Lee stresses value of family amid Wuhan virus,http://theindependent.sg/pm-lee-stresses-value-of-family-amid-wuhan-virus,26/01/2020,The Independent Singapore
17,Pofma correction order issued on HardwareZone Forum post claiming man died in Singapore from Wuhan virus,http://theindependent.sg/pofma-correction-order-issued-on-hardwarezone-forum-post-claiming-man-died-in-singapore-from-wuhan-virus,27/01/2020,The Independent Singapore
18,"Petition to temporarily ban travellers from China: More than 35,000 sign in less than a day",http://theindependent.sg/petition-to-temporarily-ban-travellers-from-china-more-than-35000-sign-in-less-than-a-day,27/01/2020,The Independent Singapore
19,“Not all Chinese are bad people”: Wuhan resident’s Facebook post goes viral,http://theindependent.sg/not-all-chinese-are-bad-people-wuhan-residents-facebook-post-goes-viral,27/01/2020,The Independent Singapore
20,"Singaporean died of heart attack, not of coronavirus: Malaysian police",http://theindependent.sg/singaporean-died-of-heart-attack-not-of-coronavirus-malaysian-police/,27/01/2020,The Independent Singapore
21,China extends holiday to buy time as virus keeps spreading,http://theindependent.sg/china-extends-holiday-to-buy-time-as-virus-keeps-spreading,27/01/2020,The Independent Singapore
22,France to fly home citizens from China’s virus-stricken Wuhan,http://theindependent.sg/france-to-fly-home-citizens-from-chinas-virus-stricken-wuhan,27/01/2020,The Independent Singapore
23,"Govt boosts measures against spread of Wuhan virus, including 14-day mandatory leave",http://theindependent.sg/govt-boosts-measures-against-spread-of-wuhan-virus-including-14-day-mandatory-leave,28/01/2020,The Independent Singapore
24,HK protesters set fire to lobby of new coronavirus quarantine centre,http://theindependent.sg/hk-protesters-set-fire-to-lobby-of-new-coronavirus-quarantine-centre,28/01/2020,The Independent Singapore
25,"Stores run out of masks, prices online reach S$288",http://theindependent.sg/stores-run-out-of-masks-prices-online-reach-s288,28/01/2020,The Independent Singapore
26,Wuhan virus continues to spread: fifth case in Singapore confirmed,http://theindependent.sg/wuhan-virus-continues-to-spread-fifth-case-in-singapore-confirmed,28/01/2020,The Independent Singapore
27,POFMA to quash Wuhan virus falsehoods which can cause public panic,http://theindependent.sg/pofma-to-quash-wuhan-virus-falsehoods-which-can-cause-public-panic,28/01/2020,The Independent Singapore
28,Wuhan virus exposes how vulnerable the world is to panic and pandemic,http://theindependent.sg/wuhan-virus-exposes-how-vulnerable-the-world-is-to-panic-and-pandemic,28/01/2020,The Independent Singapore
29,China virus death toll tops 100 as contagion spreads abroad,http://theindependent.sg/china-virus-death-toll-tops-100-as-contagion-spreads-abroad,28/01/2020,The Independent Singapore
30,Coronavirus: countries evacuate citizens from China,http://theindependent.sg/coronavirus-countries-evacuate-citizens-from-china,28/01/2020,The Independent Singapore
31,Japan confirms virus in man who had not been to China,http://theindependent.sg/japan-confirms-virus-in-man-who-had-not-been-to-china,28/01/2020,The Independent Singapore
32,Dr Tan Cheng Bock predicts elections likely to be delayed because of Wuhan virus,http://theindependent.sg/dr-tan-cheng-bock-predicts-elections-likely-to-be-delayed-because-of-wuhan-virus,29/01/2020,The Independent Singapore
33,"Travel restrictions for those travelling from Hubei effective 12pm, Jan 29",http://theindependent.sg/travel-restrictions-for-those-travelling-from-hubei-effective-12pm-jan-29,29/01/2020,The Independent Singapore
34,"Wuhan virus: WP urges public to “not give in to fear-mongering by speculating, spreading rumours”",http://theindependent.sg/wuhan-virus-wp-urges-public-to-not-give-in-to-fear-mongering-by-speculating-spreading-rumours,29/01/2020,The Independent Singapore
35,Lawrence Wong tells Singaporeans to be “psychologically prepared” for Wuhan outbreak,http://theindependent.sg/lawrence-wong-tells-singaporeans-to-be-psychologically-prepared-for-wuhan-outbreak,29/01/2020,The Independent Singapore
36,Man arrested in Malaysia for spreading fake news about Wuhan virus,http://theindependent.sg/man-arrested-in-malaysia-for-spreading-fake-news-about-wuhan-virus,29/01/2020,The Independent Singapore
