Title,Source Link,Time of the post,Source Name
World Health Organisation in touch with Beijing after mystery viral pneumonia outbreak,https://www.scmp.com/news/china/politics/article/3044207/china-shuts-seafood-market-linked-mystery-viral-pneumonia,2020-01-01T16:59:49+08:00,South China Morning Post
"Wuhan pneumonia: Hong Kong patients who visited Chinese city no longer showing signs of fever, with two discharged from hospital",https://www.scmp.com/news/china/society/article/3044367/families-wuhan-pneumonia-patients-say-they-are-being-kept-dark,2020-01-02T21:30:24+08:00,South China Morning Post
"China says Wuhan pneumonia not Sars, but virus remains unidentified, more people hospitalised",https://www.scmp.com/news/hong-kong/health-environment/article/3044723/six-more-hong-kong-patients-hospitalised-over,2020-01-05T13:33:10+08:00,South China Morning Post
Public warned not to drop their guard over mystery China virus after tests rule out Sars or bird flu,https://www.scmp.com/news/china/society/article/3044909/public-warned-not-drop-their-guard-over-mystery-china-virus,2020-01-06T22:37:19+08:00,South China Morning Post
"Hong Kong to add mystery Wuhan pneumonia to list of notifiable infectious diseases, giving authorities power to quarantine patients",https://www.scmp.com/news/hong-kong/health-environment/article/3044912/hong-kong-urged-tighten-health-checks-visitors,2020-01-06T23:33:33+08:00,South China Morning Post
Supplies of N95 mask running low in Hong Kong as Wuhan virus scare sparks panic buying and marked-up prices,https://www.scmp.com/news/hong-kong/health-environment/article/3044906/supplies-n95-mask-running-low-hong-kong-wuhan,2020-01-07T09:00:13+08:00,South China Morning Post
Wuhan 'pneumonia': Hong Kong takes tougher precautions with more powers to investigate suspected cases,https://www.scmp.com/news/hong-kong/health-environment/article/3044957/wuhan-pneumonia-hong-kong-officials-board-trains,2020-01-07T12:41:02+08:00,South China Morning Post
Vigilance is only the first line of defence against mystery virus,https://www.scmp.com/comment/opinion/article/3045083/vigilance-only-first-line-defence-against-mystery-virus,2020-01-07T22:34:12+08:00,South China Morning Post
Wuhan 'pneumonia': Hong Kong health chief under pressure to seek more information from mainland authorities amid silence on latest patient numbers,https://www.scmp.com/news/hong-kong/health-environment/article/3045139/china-pneumonia-hong-kong-polytechnic-university,2020-01-08T12:17:05+08:00,South China Morning Post
Chinese worker who visited Wuhan quarantined as South Korea reports first possible case of mystery pneumonia virus,https://www.scmp.com/news/asia/east-asia/article/3045249/chinese-worker-who-visited-wuhan-quarantined-south-korea,2020-01-08T21:28:45+08:00,South China Morning Post
Wuhan pneumonia: Asia battens down for Lunar New Year rush,https://www.scmp.com/week-asia/health-environment/article/3045317/wuhan-pneumonia-asia-battens-down-chinese-new-year,2020-01-09T05:26:42.000Z,South China Morning Post
China 'must find source' after identifying Wuhan pneumonia as new virus from Sars family,https://www.scmp.com/news/china/society/article/3045288/china-confirms-new-coronavirus-it-investigates-mystery-wuhan,2020-01-09T10:36:47+08:00,South China Morning Post
Wuhan pneumonia: what we know about the new virus and how you can stop yourself getting sick,https://www.scmp.com/news/hong-kong/health-environment/article/3045310/china-pneumonia-what-we-know-about-new-virus-and,2020-01-09T12:51:50+08:00,South China Morning Post
Wuhan pneumonia: Thailand confirms first case of virus outside China,https://www.scmp.com/news/hong-kong/health-environment/article/3045902/wuhan-pneumonia-thailand-confirms-first-case,2020-01-13T20:33:18+08:00,South China Morning Post
Wuhan virus: Japan case puts Asian health authorities on high alert before Lunar New Year,https://www.scmp.com/week-asia/health-environment/article/3046356/wuhan-virus-japan-case-puts-asian-health-authorities,2020-01-16T07:00:09.000Z,South China Morning Post
Wuhan virus: Thailand to hold Lunar New Year parties despite local pneumonia cases,https://www.scmp.com/week-asia/health-environment/article/3046660/wuhan-virus-thailand-hold-lunar-new-year-parties,2020-01-18T13:08:04+08:00,South China Morning Post
China coronavirus: Hong Kong public health experts call for stepped up prevention measures as suspected cases reported in Shenzhen and Shanghai,https://www.scmp.com/news/hong-kong/health-environment/article/3046735/china-coronavirus-hong-kong-public-health-experts,2020-01-19T18:41:49+08:00,South China Morning Post
China coronavirus: WHO to hold emergency meeting as Sars-like virus spreads in Asia,https://www.scmp.com/news/world/europe/article/3046924/china-coronavirus-who-hold-emergency-meeting-sars-virus-spreads,2020-01-20T19:23:05.000Z,South China Morning Post
"Wuhan virus kills fourth patient, infects hospital staff amid fear of 'super-spreader'",https://www.scmp.com/news/china/society/article/3046908/new-china-virus-likely-human-transmission-stage-infections,2020-01-20T21:40:06+08:00,South China Morning Post
Hong Kong strengthens detection and response measures against new Wuhan virus as mainland China reveals disease has spread,https://www.scmp.com/news/hong-kong/health-environment/article/3046919/hong-kong-strengthens-detection-measures-against,2020-01-20T23:33:37+08:00,South China Morning Post
China virus: why Hong Kong can't afford to be complacent,https://www.scmp.com/comment/letters/article/3046814/china-virus-why-hong-kong-cant-afford-be-complacent,2020-01-21T06:55:04+08:00,South China Morning Post
China coronavirus: Philippines and Australia investigating suspected cases after Wuhan visits,https://www.scmp.com/news/asia/australasia/article/3046952/china-coronavirus-australia-isolates-man-showing-symptoms,2020-01-21T11:58:26+08:00,South China Morning Post
Asian health officials fear Wuhan coronavirus outbreak is larger than China's letting on,https://www.scmp.com/week-asia/health-environment/article/3047050/asian-health-officials-fear-wuhan-coronavirus-outbreak,2020-01-21T12:19:22.000Z,South China Morning Post
China's credibility on the line as it tries to dispels fears it will cover up spread of Wuhan virus,https://www.scmp.com/news/china/politics/article/3046984/china-warns-cadres-cover-spread-virus-and-be-nailed-pillar,2020-01-21T14:33:10+08:00,South China Morning Post
Chinese travel sites offer free cancellations for Wuhan bookings amid virus outbreak,https://www.scmp.com/news/china/society/article/3047017/chinese-travel-sites-offer-free-cancellations-wuhan-bookings,2020-01-21T18:01:33+08:00,South China Morning Post
"Wuhan coronavirus has entered transmission stage among families and hospitals, taking it a step closer to full-blown community epidemic, Hong Kong expert warns",https://www.scmp.com/news/hong-kong/health-environment/article/3047022/wuhan-coronavirus-20-other-cities-china-affected,2020-01-21T18:17:22+08:00,South China Morning Post
"Hong Kong protests, Taiwan problem, Wuhan virus: Xi Jinping's woes just keep mounting",https://www.scmp.com/comment/opinion/article/3046981/hong-kong-protests-taiwan-problem-wuhan-virus-xi-jinpings-woes-just,2020-01-21T19:00:07.000Z,South China Morning Post
How political tensions between Taiwan and mainland China could hamper efforts to fight Wuhan virus,https://www.scmp.com/news/china/society/article/3047044/china-virus-spreads-taiwan-island-authorities-confirm-first-case,2020-01-21T19:55:02+08:00,South China Morning Post
"Hong Kong developers, real estate agencies put on alert as Wuhan virus threatens to inflict more retail losses after protests",https://www.scmp.com/property/hong-kong-china/article/3047047/hong-kong-developers-real-estate-agencies-put-alert-wuhan,2020-01-21T20:02:56+08:00,South China Morning Post
There's no room for a cover-up this time as Wuhan virus spreads,https://www.scmp.com/comment/opinion/article/3047053/theres-no-room-cover-time-wuhan-virus-spreads,2020-01-21T21:30:10+08:00,South China Morning Post
Cathay Pacific cabin crew warn of 'catastrophic' consequences of not guarding against Wuhan virus as they demand right to wear masks on all flights,https://www.scmp.com/news/hong-kong/health-environment/article/3047069/cathay-pacific-cabin-crew-warn-catastrophic,2020-01-21T22:17:05+08:00,South China Morning Post
China virus death toll rises to 6 as city at epicentre steps up controls,https://www.scmp.com/news/china/society/article/3047075/china-virus-death-toll-rises-6-city-epicentre-steps-controls,2020-01-21T23:39:11+08:00,South China Morning Post
First Wuhan coronavirus case confirmed in United States as authorities say threat to public from deadly pneumonia still 'low',https://www.scmp.com/news/china/science/article/3047085/first-wuhan-coronavirus-confirmed-united-states-reports-say,2020-01-22T02:56:12+08:00,South China Morning Post
Virus simulation game tops Apple's App Store in China as Wuhan coronavirus spreads,https://www.scmp.com/tech/apps-social/article/3047089/virus-simulation-game-tops-apples-app-store-china-wuhan,2020-01-22T05:00:10+08:00,South China Morning Post
Coronavirus outbreak: what you need to know,https://www.scmp.com/news/china/society/article/3047066/what-do-you-need-know-about-new-coronavirus-china,2020-01-22T06:00:08+08:00,South China Morning Post
No Chinese allowed': Japanese shop criticised for coronavirus sign,https://www.scmp.com/week-asia/health-environment/article/3047144/no-chinese-allowed-japanese-shop-criticised,2020-01-22T06:14:56.000Z,South China Morning Post
"China has been transparent about Wuhan outbreak, virus expert Zhong Nanshan says",https://www.scmp.com/news/china/society/article/3047087/china-has-been-transparent-about-wuhan-outbreak-virus-expert,2020-01-22T06:15:14+08:00,South China Morning Post
Wuhan virus outbreak and Sars history should push Hong Kong towards bold steps in research collaboration,https://www.scmp.com/comment/opinion/article/3046964/wuhan-virus-outbreak-and-sars-history-should-push-hong-kong-towards,2020-01-22T06:30:11+08:00,South China Morning Post
China facing 'negative' economic impact from Wuhan coronavirus less than a week after signing US trade deal,https://www.scmp.com/economy/china-economy/article/3047070/china-facing-negative-economic-impact-wuhan-coronavirus-less,2020-01-22T08:00:24+08:00,South China Morning Post
China virus: Taiwan tells people not to go to Wuhan amid outbreak,https://www.scmp.com/news/china/society/article/3047096/china-virus-taiwan-tells-people-not-go-wuhan-amid-outbreak,2020-01-22T09:53:45+08:00,South China Morning Post
Tracking Wuhan virus a 'jigsaw puzzle' as China cracks down with quarantine powers,https://www.scmp.com/news/china/society/article/3047099/china-confirms-9-dead-coronavirus-and-440-infected,2020-01-22T10:29:22+08:00,South China Morning Post
China coronavirus: North Korea bans tourists as Asia braces for Lunar New Year rush,https://www.scmp.com/week-asia/health-environment/article/3047217/china-coronavirus-north-korea-bans-all-foreign,2020-01-22T11:13:40.000Z,South China Morning Post
"Coronavirus weaker than Sars but may share link to bats, Chinese scientists say",https://www.scmp.com/news/china/science/article/3047114/coronavirus-weaker-sars-may-share-link-bats-chinese-scientists,2020-01-22T11:56:42+08:00,South China Morning Post
"Wuhan coronavirus outbreak could be a 'black swan' that hurts retail sales, tourism in mainland China as Lunar New Year travel ramps up",https://www.scmp.com/business/companies/article/3047118/wuhan-coronavirus-outbreak-could-hurt-retail-sales-tourism,2020-01-22T12:07:08+08:00,South China Morning Post
Wuhan coronavirus: Macau confirms first case as new disease looms over Hong Kong,https://www.scmp.com/news/hong-kong/health-environment/article/3047140/china-coronavirus-macau-reports-first-case-new,2020-01-22T13:52:43+08:00,South China Morning Post
China coronavirus: death toll almost doubles in one day as Hong Kong reports its first two cases,https://www.scmp.com/news/hong-kong/health-environment/article/3047193/china-coronavirus-first-case-confirmed-hong-kong,2020-01-22T17:38:12+08:00,South China Morning Post
"China coronavirus: outbreak wreaks havoc on Lunar New Year travel plans, hitting family reunions",https://www.scmp.com/economy/china-economy/article/3047205/wuhan-coronavirus-outbreak-wreaks-havoc-chinas-lunar-new-year,2020-01-22T19:00:14+08:00,South China Morning Post
"10 tips to keep you healthy on a plane amid spread of China coronavirus, flu and colds",https://www.scmp.com/better-life/travel/article/3047190/10-tips-keep-you-healthy-plane-amid-spread-china-coronavirus-flu,2020-01-22T20:15:08+08:00,South China Morning Post
Meet the doctors working round the clock to battle China's coronavirus outbreak,https://www.scmp.com/news/china/society/article/3047219/meet-doctors-working-round-clock-battle-chinas-coronavirus,2020-01-22T21:30:15+08:00,South China Morning Post
