"Title (From 1 Jan 2020, 12:00AM to 6 Feb 2020, 5:56 PM)",Source Link,Time of the post,Source Name
Travellers arriving at Changi Airport from Wuhan to undergo temperature screening after pneumonia outbreak,https://www.straitstimes.com/singapore/ministry-of-health-issues-advisory-on-viral-pneumonia-outbreak-in-chinas-wuhan,"JAN 2, 2020, 9:01 PM",The Straits Times
"No need to avoid visiting Wuhan but take precautions amid pneumonia outbreak, say Singapore experts",https://www.straitstimes.com/singapore/no-need-to-avoid-visiting-wuhan-but-take-precautions-say-singapore-experts,"JAN 3, 2020, 7:31 PM",The Straits Times
3-year-old girl with pneumonia and travel history to Wuhan is not linked to outbreak in China: MOH,https://www.straitstimes.com/singapore/3-year-old-girl-with-pneumonia-and-travel-history-to-wuhan-is-not-linked-to-outbreak-in,"JAN 5, 2020, 8:08 PM",The Straits Times
Wuhan pneumonia outbreak: China rules out Sars as source; WHO says no evidence of human-to-human transmission,https://www.straitstimes.com/asia/east-asia/wuhan-pneumonia-outbreak-china-says-no-human-to-human-transmission-as-it-hunts-for,"JAN 6, 2020, 11:51 AM",The Straits Times
"Wuhan pneumonia outbreak may be linked to new type of virus from same family as Sars, Mers: WHO",https://www.straitstimes.com/asia/east-asia/wuhan-pneumonia-outbreak-may-be-linked-to-new-type-of-virus-who,"JAN 9, 2020, 8:54 AM",The Straits Times
Wuhan flu caused by new coronavirus: More about the pathogen behind the outbreak,https://www.straitstimes.com/asia/east-asia/wuhan-flu-caused-by-new-coronavirus-more-about-the-pathogen-behind-the-outbreak,"JAN 10, 2020, 8:53 AM",The Straits Times
Second suspected case of Wuhan virus in Singapore tests negative,https://www.straitstimes.com/singapore/health/second-suspected-case-of-wuhan-virus-in-singapore-tests-negative,"JAN 11, 2020, 9:01 PM",The Straits Times
Everything is going on normally'- Wuhan's curious nonchalance to virus outbreak,https://www.straitstimes.com/asia/east-asia/wuhan-grapples-with-mystery-pneumonia,"JAN 11, 2020, 9:18 PM",The Straits Times
"Third suspected Wuhan virus case detected in Singapore, man isolated as precaution",https://www.straitstimes.com/singapore/3rd-suspected-wuhan-virus-case-detected-in-singapore-man-isolated-as-precaution,"JAN 16, 2020, 7:42 PM",The Straits Times
Japan confirms first case of infection from Wuhan coronavirus; Vietnam quarantines two tourists,https://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus,"JAN 16, 2020, 8:52 AM",The Straits Times
