Title,Source Link,Time of the post,Source Name
Temperature screening to be implemented at Changi Airport for travellers from Wuhan,https://www.theonlinecitizen.com/2020/01/03/temperature-screening-to-be-implemented-at-changi-airport-for-travellers-from-wuhan/,2020-01-03,The Online Citizen
MOH: Suspected case is not linked to pneumonia cluster in Wuhan,https://www.theonlinecitizen.com/2020/01/06/moh-suspected-case-is-not-linked-to-pneumonia-cluster-in-wuhan/,2020-01-06,The Online Citizen
"Mysterious viral pneumonia in Wuhan, China is not the flu-like virus SARS, said state health commission",https://www.theonlinecitizen.com/2020/01/07/mysterious-viral-pneumonia-in-wuhan-china-is-not-the-flu-like-virus-sars-said-state-health-commission/,2020-01-07,The Online Citizen
New virus behind Chinas mystery pneumonia outbreak: state media,https://www.theonlinecitizen.com/2020/01/09/new-virus-behind-chinas-mystery-pneumonia-outbreak-state-media/,2020-01-09,The Online Citizen
China reports first death from mystery pneumonia outbreak,https://www.theonlinecitizen.com/2020/01/11/china-reports-first-death-from-mystery-pneumonia-outbreak/,2020-01-11,The Online Citizen
Second person dies from SARS-linked virus in China: official,https://www.theonlinecitizen.com/2020/01/17/second-person-dies-from-sars-linked-virus-in-china-official/,2020-01-17,The Online Citizen
"SARS-like virus spreads in China, reaches third Asian country",https://www.theonlinecitizen.com/2020/01/20/sars-like-virus-spreads-in-china-reaches-third-asian-country/,2020-01-20,The Online Citizen
Experts warn over scale of China virus as US airports start screening,https://www.theonlinecitizen.com/2020/01/20/experts-warn-over-scale-of-china-virus-as-us-airports-start-screening/,2020-01-20,The Online Citizen
"China reports SARS-like virus spreads across country, nearly 140 new cases",https://www.theonlinecitizen.com/2020/01/20/china-reports-sars-like-virus-spreads-across-country-nearly-140-new-cases/,2020-01-20,The Online Citizen
Philippines probing possible case of Chinese virus,https://www.theonlinecitizen.com/2020/01/21/philippines-probing-possible-case-of-chinese-virus/,2020-01-21,The Online Citizen
"Asia steps up defences as China virus hits 291 people, kills six",https://www.theonlinecitizen.com/2020/01/21/asia-steps-up-defences-as-china-virus-hits-291-people-kills-six/,2020-01-21,The Online Citizen
WHO emergency group to meet on spreading China virus,https://www.theonlinecitizen.com/2020/01/21/who-emergency-group-to-meet-on-spreading-china-virus/,2020-01-21,The Online Citizen
China says number of confirmed virus cases jumps to nearly 300,https://www.theonlinecitizen.com/2020/01/21/china-says-number-of-confirmed-virus-cases-jumps-to-nearly-300/,2020-01-21,The Online Citizen
Australia testing first suspected case of Chinese virus,https://www.theonlinecitizen.com/2020/01/21/australia-testing-first-suspected-case-of-chinese-virus/,2020-01-21,The Online Citizen
China confirms SARS-like virus spread from human to human following the fourth death,https://www.theonlinecitizen.com/2020/01/21/china-confirms-sars-like-virus-spread-from-human-to-human-following-the-fourth-death/,2020-01-21,The Online Citizen
Prof Donald Low says Chinas efforts on transparency with Wuhan virus sounds more progressive and enlightened than Singapore on labour information,https://www.theonlinecitizen.com/2020/01/22/prof-donald-low-says-chinas-efforts-on-transparency-with-wuhan-virus-sounds-more-progressive-and-enlightened-than-singapore-on-labour-information/,2020-01-22,The Online Citizen
Taiwan reports first case of new SARS-like virus,https://www.theonlinecitizen.com/2020/01/22/taiwan-reports-first-case-of-new-sars-like-virus/,2020-01-22,The Online Citizen
"China warns virus could mutate, spread as death toll rises",https://www.theonlinecitizen.com/2020/01/22/china-warns-virus-could-mutate-spread-as-death-toll-rises/,2020-01-22,The Online Citizen
Wuhan urges people to stay away in bid to contain China virus,https://www.theonlinecitizen.com/2020/01/22/wuhan-urges-people-to-stay-away-in-bid-to-contain-china-virus/,2020-01-22,The Online Citizen
Sealed off: China isolates city of virus outbreak,https://www.theonlinecitizen.com/2020/01/23/sealed-off-china-isolates-city-of-virus-outbreak/,2020-01-23,The Online Citizen
SARS lessons hang over Chinas fight against new virus,https://www.theonlinecitizen.com/2020/01/23/sars-lessons-hang-over-chinas-fight-against-new-virus/,2020-01-23,The Online Citizen
Singapore on high alert following quarantine of Wuhan city,https://www.theonlinecitizen.com/2020/01/23/singapore-on-high-alert-following-quarantine-of-wuhan-city/,2020-01-23,The Online Citizen
China locks down two cities to curb virus outbreak,https://www.theonlinecitizen.com/2020/01/23/china-locks-down-two-cities-to-curb-virus-outbreak/,2020-01-23,The Online Citizen
Video showing Chinese woman eating bat at restaurant goes viral as the world combats Wuhan virus,https://www.theonlinecitizen.com/2020/01/24/video-showing-chinese-woman-eating-bat-at-restaurant-goes-viral-as-the-world-combats-wuhan-virus/,2020-01-24,The Online Citizen
"Wuhan virus was an outbreak waiting to happen in Chinas poorly regulated wet markets, says experts",https://www.theonlinecitizen.com/2020/01/24/wuhan-virus-was-an-outbreak-waiting-to-happen-in-chinas-poorly-regulated-wet-markets-says-experts/,2020-01-24,The Online Citizen
Confirmed imported case of novel coronavirus infection in Singapore; Multi-ministry taskforce ramps up precautionary measures,https://www.theonlinecitizen.com/2020/01/23/confirmed-imported-case-of-novel-coronavirus-infection-in-singapore-multi-ministry-taskforce-ramps-up-precautionary-measures/,2020-01-24,The Online Citizen
"China locks down cities to curb virus, but WHO says no global emergency",https://www.theonlinecitizen.com/2020/01/24/china-locks-down-cities-to-curb-virus-but-who-says-no-global-emergency/,2020-01-24,The Online Citizen
US investigating second suspected case of Chinese virus,https://www.theonlinecitizen.com/2020/01/24/us-investigating-second-suspected-case-of-chinese-virus/,2020-01-24,The Online Citizen
China virus toll jumps to 25 dead with 830 confirmed cases: govt,https://www.theonlinecitizen.com/2020/01/24/china-virus-toll-jumps-to-25-dead-with-830-confirmed-cases-govt/,2020-01-24,The Online Citizen
China shuts down transport in eight cities around virus epicentre,https://www.theonlinecitizen.com/2020/01/24/china-shuts-down-transport-in-eight-cities-around-virus-epicentre/,2020-01-24,The Online Citizen
China confirms second virus death outside of epicentre,https://www.theonlinecitizen.com/2020/01/24/china-confirms-second-virus-death-outside-of-epicentre/,2020-01-24,The Online Citizen
MOH reassures public theres enough N95 masks to go around; Recommends use of surgical masks,https://www.theonlinecitizen.com/2020/01/24/moh-reassures-public-theres-enough-n95-masks-to-go-around-recommends-use-of-surgical-masks/,2020-01-24,The Online Citizen
Medical staff treating patients are more at risk from Chinas Coronavirus,https://www.theonlinecitizen.com/2020/01/24/medical-staff-treating-patients-are-more-at-risk-from-chinas-coronavirus/,2020-01-24,The Online Citizen
PM Lee says Singapore is much better prepared to deal with a new virus following SARS outbreak,https://www.theonlinecitizen.com/2020/01/24/pm-lee-says-singapore-is-much-better-prepared-to-deal-with-a-new-virus-following-sars-outbreak/,2020-01-24,The Online Citizen
MOH confirms two more cases of the Wuhan virus in Singapore,https://www.theonlinecitizen.com/2020/01/24/moh-confirms-two-more-cases-of-the-wuhan-virus-in-singapore/,2020-01-24,The Online Citizen
Australia confirms first coronavirus case,https://www.theonlinecitizen.com/2020/01/25/australia-confirms-first-coronavirus-case/,2020-01-25,The Online Citizen
China deploys 450 military medical staff to virus epicentre,https://www.theonlinecitizen.com/2020/01/25/china-deploys-450-military-medical-staff-to-virus-epicentre/,2020-01-25,The Online Citizen
Xi warns of grave situation as China rushes to build virus hospitals,https://www.theonlinecitizen.com/2020/01/25/xi-warns-of-grave-situation-as-china-rushes-to-build-virus-hospitals/,2020-01-25,The Online Citizen
PRC with virus uses public transport but MOH says risk low; Bloomberg says some patients have no fever,https://www.theonlinecitizen.com/2020/01/25/prc-with-virus-uses-public-transport-but-moh-says-risk-low-bloomberg-says-some-patients-have-no-fever/,2020-01-25,The Online Citizen
"China virus death toll jumps to 41, cases soar to nearly 1,300",https://www.theonlinecitizen.com/2020/01/25/china-virus-death-toll-jumps-to-41-cases-soar-to-nearly-1300/,2020-01-25,The Online Citizen
China fortifies virus defences as deaths hit 56,https://www.theonlinecitizen.com/2020/01/26/china-fortifies-virus-defences-as-deaths-hit-56/,2020-01-26,The Online Citizen
MOH: Fourth case of Wuhan virus in Singapore,https://www.theonlinecitizen.com/2020/01/26/fourth-case-of-wuhan-virus-confirmed-in-singapore/,2020-01-26,The Online Citizen
Hong Kong Disneyland says closing over China virus fears,https://www.theonlinecitizen.com/2020/01/26/hong-kong-disneyland-says-closing-over-china-virus-fears/,2020-01-26,The Online Citizen
Canada reports first presumptive coronavirus case,https://www.theonlinecitizen.com/2020/01/26/canada-reports-first-presumptive-coronavirus-case/,2020-01-26,The Online Citizen
Japan will evacuate nationals from China virus city: Abe,https://www.theonlinecitizen.com/2020/01/26/japan-will-evacuate-nationals-from-china-virus-city-abe/,2020-01-26,The Online Citizen
"China virus toll rises to 54 dead, more than 300 new cases: govt",https://www.theonlinecitizen.com/2020/01/26/china-virus-toll-rises-to-54-dead-more-than-300-new-cases-govt/,2020-01-26,The Online Citizen
Msia reports all 4 Wuhan virus cases came through SG; Philippines returns back Wuhan tourists,https://www.theonlinecitizen.com/2020/01/26/msia-reports-all-4-wuhan-virus-cases-came-through-sg-philippines-returns-back-wuhan-tourists/,2020-01-26,The Online Citizen
"Mongolia closes China border to cars, shuts schools over virus fears",https://www.theonlinecitizen.com/2020/01/27/mongolia-closes-china-border-to-cars-shuts-schools-over-virus-fears/,2020-01-27,The Online Citizen
France to fly home citizens from Chinas virus-stricken Wuhan,https://www.theonlinecitizen.com/2020/01/27/france-to-fly-home-citizens-from-chinas-virus-stricken-wuhan/,2020-01-27,The Online Citizen
Anxious foreigners await rescue from China virus epicentre,https://www.theonlinecitizen.com/2020/01/27/anxious-foreigners-await-rescue-from-china-virus-epicentre/,2020-01-27,The Online Citizen
"Over 5,000 in Singapore sign petition to call for govt to ban travellers from China due concerns over Wuhan virus",https://www.theonlinecitizen.com/2020/01/27/over-5000-in-singapore-sign-petition-to-ban-travellers-from-china-due-concerns-over-wuhan-virus/,2020-01-27,The Online Citizen
"China death toll spikes to 80, over 2,700 cases confirmed",https://www.theonlinecitizen.com/2020/01/27/china-death-toll-spikes-to-80-over-2700-cases-confirmed/,2020-01-27,The Online Citizen
"Singapore: 14 days leave of absence enforced for students, eldercare and healthcare workers who visited China",https://www.theonlinecitizen.com/2020/01/27/singapore-14-days-leave-of-absence-enforced-for-students-eldercare-and-healthcare-workers-who-visited-china/,2020-01-27,The Online Citizen
"Online petition to ban Chinese nationals from entering Malaysia garnered over 370,000 signatures",https://www.theonlinecitizen.com/2020/01/27/online-petition-to-ban-chinese-nationals-from-entering-malaysia-garnered-over-300000-signatures/,2020-01-27,The Online Citizen
China extends holiday to buy time as virus keeps spreading,https://www.theonlinecitizen.com/2020/01/27/china-extends-holiday-to-buy-time-as-virus-keeps-spreading/,2020-01-27,The Online Citizen
Malaysia imposes ban on Chinese tourists from Wuhan,https://www.theonlinecitizen.com/2020/01/27/malaysia-imposes-ban-on-chinese-tourists-from-wuhan/,2020-01-27,The Online Citizen
Taxi drivers who are required to be quarantined due to Wuhan virus will have their rental fees waived,https://www.theonlinecitizen.com/2020/01/28/taxi-drivers-who-are-required-to-be-quarantined-due-to-wuhan-virus-will-have-their-rental-fees-waived/,2020-01-28,The Online Citizen
Millions quarantined as China scrambles to halt virus,https://www.theonlinecitizen.com/2020/01/28/millions-quarantined-as-china-scrambles-to-halt-virus/,2020-01-28,The Online Citizen
Wuhan virus surfaces 9 months after US agency predicts outbreaks of large-scale disease in China,https://www.theonlinecitizen.com/2020/01/28/wuhan-virus-surfaces-9-months-after-us-agency-predicts-outbreaks-of-large-scale-disease-in-china/,2020-01-28,The Online Citizen
Minister Lawrence Wong says Singapore must be prepared that Wuhan virus outbreak might be worse than SARS,https://www.theonlinecitizen.com/2020/01/28/minister-lawrence-wong-says-singapore-must-be-prepared-that-wuhan-virus-outbreak-might-be-worse-than-sars/,2020-01-28,The Online Citizen
SPH Magazines complies with POFMA correction direction regarding HardwareZone forum post on Wuhan coronavirus case in Spore,https://www.theonlinecitizen.com/2020/01/28/sph-magazines-complies-with-pofma-correction-direction-regarding-hardwarezone-forum-post-on-wuhan-coronavirus-case-in-spore/,2020-01-28,The Online Citizen
Foreigners prepare to flee as China virus toll tops 100,https://www.theonlinecitizen.com/2020/01/28/foreigners-prepare-to-flee-as-china-virus-toll-tops-100/,2020-01-28,The Online Citizen
"Chan Chun Sing: Singapore economy may be affected by outbreak, but support measures underway",https://www.theonlinecitizen.com/2020/01/28/chan-chun-sing-singapore-economy-may-be-affected-by-outbreak-but-support-measures-underway/,2020-01-28,The Online Citizen
First coronavirus case confirmed in Germany: Bavarian health ministry,https://www.theonlinecitizen.com/2020/01/28/first-coronavirus-case-confirmed-in-germany-bavarian-health-ministry/,2020-01-28,The Online Citizen
5 million left Wuhan before lockdown; Virus more transmissible with patients having normal temp,https://www.theonlinecitizen.com/2020/01/28/5-million-left-wuhan-before-lockdown-virus-more-transmissible-with-patients-having-normal-temp/,2020-01-28,The Online Citizen
MOH announces fifth confirmed case of Wuhan virus in Singapore,https://www.theonlinecitizen.com/2020/01/28/moh-announces-fifth-confirmed-case-of-wuhan-virus-in-singapore/,2020-01-28,The Online Citizen
Canada confirms first virus case,https://www.theonlinecitizen.com/2020/01/28/canada-confirms-first-virus-case/,2020-01-28,The Online Citizen
Dont play the blame game; its time to come together PSPs Dr Tan Cheng Bock on the Wuhan virus concern,https://www.theonlinecitizen.com/2020/01/28/dont-play-the-blame-game-its-time-to-come-together-psps-dr-tan-cheng-bock-on-the-wuhan-virus-concern/,2020-01-28,The Online Citizen
"Two more confirmed imported cases of Wuhan coronavirus infection in Singapore, making seven cases in total",https://www.theonlinecitizen.com/2020/01/28/two-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore-making-seven-cases-in-total/,2020-01-28,The Online Citizen
"Quarantined in Hangzhou, 18 Singapore residents and 10 Scoot staff return safely on Scoot relief flight",https://www.theonlinecitizen.com/2020/01/28/quarantined-in-hangzhou-18-singapore-residents-and-10-scoot-staff-return-safely-on-scoot-relief-flight/,2020-01-28,The Online Citizen
More than 10K from Wuhan arrived in SG since outbreak; ICA only health screens PRCs with passports issued in Hubei,https://www.theonlinecitizen.com/2020/01/28/more-than-10k-from-wuhan-arrived-in-sg-since-outbreak-ica-only-health-screens-prcs-with-passports-issued-in-hubei/,2020-01-28,The Online Citizen
Wuhan mayor admits lack of transparency in informing public about the outbreak; partially blames the Beijing government,https://www.theonlinecitizen.com/2020/01/28/wuhan-mayor-admits-lack-of-transparency-in-informing-public-about-the-outbreak-partially-blames-the-beijing-government/,2020-01-28,The Online Citizen
Japan to send evacuation plane to Wuhan: minister,https://www.theonlinecitizen.com/2020/01/28/japan-to-send-evacuation-plane-to-wuhan-minister/,2020-01-28,The Online Citizen
"Petition to ban travellers from China from entering Singapore has over 91,000 signatories",https://www.theonlinecitizen.com/2020/01/28/petition-to-ban-travellers-from-china-from-entering-singapore-has-over-91000-signatories/,2020-01-28,The Online Citizen
Travellers from Hubei and those with Hubei-issued PRC passports barred from entering Singapore starting 29 Jan,https://www.theonlinecitizen.com/2020/01/28/travellers-from-hubei-and-those-with-hubei-issued-prc-passports-barred-from-entering-singapore-starting-29-jan/,2020-01-28,The Online Citizen
Netizens concerned over apparent lack of masks available as demands rise,https://www.theonlinecitizen.com/2020/01/28/netizens-concerned-over-apparently-lack-of-masks-available-as-demands-rise/,2020-01-28,The Online Citizen
"Economists: Singapores tourism industry may suffer from Wuhan outbreak, but impact on overall economy remains hazy",https://www.theonlinecitizen.com/2020/01/29/economists-singapores-tourism-industry-may-suffer-from-wuhan-outbreak-but-impact-on-overall-economy-remains-hazy/,2020-01-29,The Online Citizen
Outward Bound Singapore (OBS) camps to be used as a quarantine facility,https://www.theonlinecitizen.com/2020/01/29/outward-bound-singapore-obs-camps-to-be-used-as-a-quarantine-facility/,2020-01-29,The Online Citizen
Government to give $100 a day to those who have to be quarantined,https://www.theonlinecitizen.com/2020/01/29/government-to-give-100-a-day-to-those-who-have-to-be-quarantined/,2020-01-29,The Online Citizen
"Japan, US evacuees leave Chinese virus epicentre as toll spikes",https://www.theonlinecitizen.com/2020/01/29/japan-us-evacuees-leave-chinese-virus-epicentre-as-toll-spikes/,2020-01-29,The Online Citizen
Australian scientists first to grow new coronavirus outside China,https://www.theonlinecitizen.com/2020/01/29/australian-scientists-first-to-grow-new-coronavirus-outside-china/,2020-01-29,The Online Citizen
SDP urges the public to not manufacture fake news and spread rumours regarding the Wuhan virus,https://www.theonlinecitizen.com/2020/01/29/sdp-urges-the-public-to-not-manufacture-fake-news-and-spread-rumours-regarding-the-wuhan-virus/,2020-01-29,The Online Citizen
25 new fatalities in Chinas virus epicentre: official,https://www.theonlinecitizen.com/2020/01/29/25-new-fatalities-in-chinas-virus-epicentre-official/,2020-01-29,The Online Citizen
PSPs Dr Tan Cheng Bock advises public to be discreet about news on Wuhan virus,https://www.theonlinecitizen.com/2020/01/29/psps-dr-tan-cheng-bock-advises-public-to-be-discreet-about-news-on-wuhan-virus/,2020-01-29,The Online Citizen
Still many stores out of stock of masks; long queues persist,https://www.theonlinecitizen.com/2020/01/29/still-many-stores-out-of-stock-of-masks-long-queues-persist/,2020-01-29,The Online Citizen
"Human-to-human transmission of Wuhan virus outside of China, confirmed in Germany, Japan and Vietnam",https://www.theonlinecitizen.com/2020/01/29/human-to-human-transmission-of-wuhan-virus-outside-of-china-confirmed-in-germany-japan-and-vietnam/,2020-01-29,The Online Citizen
Shanghai Disneyland closes its doors until further notice due to Wuhan virus,https://www.theonlinecitizen.com/2020/01/28/shanghai-disneyland-closes-its-doors-until-further-notice-due-to-wuhan-virus/,2020-01-29,The Online Citizen
NS pre-enlistees who have visited China recently must take 14 days of compulsory leave of absence,https://www.theonlinecitizen.com/2020/01/29/ns-pre-enlistees-who-have-visited-china-recently-must-take-14-days-of-compulsory-leave-of-absence/,2020-01-29,The Online Citizen
Transport Minister issues targeted correction direction to Facebook over posts about alleged Woodlands MRT closure,https://www.theonlinecitizen.com/2020/01/29/transport-minister-issues-targeted-correction-direction-to-facebook-over-posts-about-alleged-woodlands-mrt-closure/,2020-01-29,The Online Citizen
Airlines halt China flights as virus toll hits 132,https://www.theonlinecitizen.com/2020/01/29/airlines-halt-china-flights-as-virus-toll-hits-132/,2020-01-29,The Online Citizen
Netizens ask Lam Pin Min to check on reality on the ground in response to comment about sufficient supply of masks in Singapore,https://www.theonlinecitizen.com/2020/01/29/netizens-ask-lam-pin-min-to-check-on-reality-on-the-ground-in-response-to-comment-about-sufficient-supply-of-masks-in-singapore/,2020-01-29,The Online Citizen
"NTUC FairPrice extends face mask purchase limit to hand sanitisers, thermometers",https://www.theonlinecitizen.com/2020/01/28/ntuc-fairprice-extends-face-mask-purchase-limit-to-hand-sanitisers-thermometers/,2020-01-29,The Online Citizen
MOM to reject all new work pass applications for those from Hubei China,https://www.theonlinecitizen.com/2020/01/29/mom-to-reject-all-new-work-pass-applications-for-those-from-hubei-china/,2020-01-29,The Online Citizen
Beijing municipal market regulator fines drugstore for jacking up face mask prices,https://www.theonlinecitizen.com/2020/01/29/beijing-municipal-market-regulator-fines-drugstore-for-jacking-up-face-mask-prices/,2020-01-29,The Online Citizen
WP fully supports the multi-ministry task force efforts on the serious and concerning Wuhan virus outbreak,https://www.theonlinecitizen.com/2020/01/29/wp-fully-supports-the-multi-ministry-task-force-efforts-on-the-serious-and-concerning-wuhan-virus-outbreak/,2020-01-29,The Online Citizen
"In Middle East, UAE announces first case of new coronavirus",https://www.theonlinecitizen.com/2020/01/29/in-mideast-first-uae-announces-case-of-new-coronavirus/,2020-01-29,The Online Citizen
CapitaLand and other Singapore firms temporarily cease operations in China due to viral outbreak,https://www.theonlinecitizen.com/2020/01/29/capitaland-and-other-singapore-firms-temporarily-cease-operations-in-china-due-to-viral-outbreak/,2020-01-29,The Online Citizen
Three Japanese evacuated from Wuhan have new coronavirus,https://www.theonlinecitizen.com/2020/01/30/three-japanese-evacuated-from-wuhan-have-new-coronavirus/,2020-01-30,The Online Citizen
