index,headline,source_url,publish_date,publisher,crawl_type
0,"MOH warns pneumonia outbreak in Wuhan, temperature checks to be implemented at Changi Airport from Jan. 3, 2020",https://www.mothership.sg/2020/01/pneumonia-outbreak-wuhan-china/,03/01/2020 07:30,Mothership.sg,auto
1,MOH: 3-year-old girl with pneumonia not linked to outbreak in Wuhan,https://www.mothership.sg/2020/01/first-suspect-case-wuhan-pneumonia-singapore-no-link/,06/01/2020 08:35,Mothership.sg,auto
2,China pneumonia cases may be new type of virus: WHO,https://www.mothership.sg/2020/01/china-wuhan-pneumonia/,09/01/2020 12:50,Mothership.sg,manual
3,"New case of pneumonia found in S’pore: Chinese national, 26, with travel history to Wuhan",https://www.mothership.sg/2020/01/chinese-national-isolated-coronavirus-wuhan/,11/01/2020 03:37,Mothership.sg,auto
4,China reports first death from Wuhan pneumonia virus,https://www.mothership.sg/2020/01/wuhan-man-pneumonia-dies/,11/01/2020 19:34,Mothership.sg,auto
5,Wuhan pneumonia may be linked to virus that caused SARS,https://www.mothership.sg/2020/01/wuhan-pneumonia-link-to-sars/,12/01/2020 20:59,Mothership.sg,auto
6,Thailand confirms first case of Wuhan pneumonia virus outside China,https://www.mothership.sg/2020/01/thailand-wuhan-virus/,15/01/2020 01:52,Mothership.sg,auto
7,69-year-old man with Wuhan travel history is 1st S’porean suspected to have Wuhan pneumonia,https://www.mothership.sg/2020/01/wuhan-pneumonia-first-singaporean/,17/01/2020 03:21,Mothership.sg,auto
8,2 more people in S’pore suspected to have Wuhan pneumonia,https://www.mothership.sg/2020/01/wuhan-pneumonia-singapore-two-patients/,18/01/2020 07:38,Mothership.sg,auto
9,"52-year-old S’pore resident suspected of Wuhan pneumonia, admitted for further assessment",https://www.mothership.sg/2020/01/wuhan-pneumonia-new-case-suspected/,19/01/2020 06:24,Mothership.sg,auto
10,"China reports 4 more cases of Wuhan pneumonia, researchers believe over 1,700 infected",https://www.mothership.sg/2020/01/china-wuhan-pneumonia-4-cases-thousands-infected/,19/01/2020 06:52,Mothership.sg,auto
