index,headline,source_url,publish_date,publisher,crawl_type,Date
0,"MOH aware of severe pneumonia cases in Wuhan, China; doctors to look out for suspected cases",https://www.todayonline.com/singapore/moh-aware-severe-pneumonia-cases-wuhan-china-doctors-look-out-suspected-cases,2020-02-01,Today,manual,2020-01-02
1,"Chinese girl with pneumonia warded, isolated after travel to Wuhan: MOH",https://www.todayonline.com/singapore/chinese-girl-pneumonia-warded-isolated-after-travel-wuhan-moh,2020-05-01,Today,manual,2020-01-05
2,"59 people in Wuhan found with mystery pneumonia strain, authorities reveal",https://www.todayonline.com/world/59-people-wuhan-found-mystery-pneumonia-strain-authorities-reveal,2020-06-01,Today,manual,2020-01-06
3,Hong Kong’s N95 stocks low amid Wuhan mystery virus fears,https://www.scmp.com/news/hong-kong/health-environment/article/3044906/supplies-n95-mask-running-low-hong-kong-wuhan,2020-07-01,Today,manual,2020-01-07
4,China ‘must find source’ after identifying Wuhan pneumonia as new virus from Sars family,https://www.todayonline.com/world/china-must-find-source-after-identifying-wuhan-pneumonia-new-virus-sars-family,2020-09-01,Today,manual,2020-01-09
5,China pneumonia outbreak may be linked to new type of virus: WHO,https://www.todayonline.com/world/china-pneumonia-outbreak-may-be-linked-new-type-virus-who,2020-09-01,Today Online,auto,2020-01-09
6,"Chinese man with pneumonia warded, isolated after travel to Wuhan: MOH",https://www.todayonline.com/singapore/chinese-man-pneumonia-warded-isolated-after-travel-wuhan-moh,2020-10-01,Today,manual,2020-01-10
7,"WHO says new China coronavirus could spread, warns hospitals worldwide",https://www.todayonline.com/world/who-says-new-china-virus-could-spread-its-warning-all-hospitals-0,2020-14-01,Today,manual,2020-01-14
8,China virus outbreak linked to seafood market not currently spreading: WHO,https://www.todayonline.com/world/china-virus-outbreak-linked-seafood-market-not-currently-spreading-who,2020-15-01,Today,manual,2020-01-15
9,"Wuhan pneumonia: Chinese tourist in Thai case did not visit outbreak-linked market, raising fears of possible spread of virus",https://www.todayonline.com/world/wuhan-pneumonia-chinese-tourist-thai-case-did-not-visit-outbreak-linked-market-raising-fears,2020-15-01,Today,manual,2020-01-15
10,"Japan confirms case of new Chinese virus, spread is 'concerning'",https://www.todayonline.com/world/japan-confirms-first-case-infection-new-china-coronavirus,2020-16-01,Today,manual,2020-01-16
11,Second person dies from Sars-linked virus in China: official,https://www.todayonline.com/world/second-person-dies-mystery-virus-china-official,2020-17-01,Today,manual,2020-01-17
12,"Wuhan virus: Suspected cases in Singapore go up to 5, MOH warns of more to come",https://www.todayonline.com/singapore/wuhan-virus-suspected-cases-singapore-go-5-moh-warns-more-come,2020-17-01,Today Online,auto,2020-01-17
13,"Thailand finds second case of new Chinese virus, says no outbreak",https://www.todayonline.com/world/thailand-finds-second-case-new-chinese-virus-says-no-outbreak-1,2020-17-01,Today Online,auto,2020-01-17
14,China reports 17 new cases of mystery virus,https://www.todayonline.com/world/china-reports-17-new-cases-mystery-virus,2020-19-01,Today Online,auto,2020-01-19
15,"As virus spreads to more Chinese cities, WHO calls emergency meeting",https://www.todayonline.com/world/china-confirms-139-new-cases-pneumonia-over-weekend-virus-spreads-new-cities-1,2020-20-01,Today Online,auto,2020-01-20
16,Explainer: What we know so far about the Wuhan virus outbreak,https://www.todayonline.com/singapore/explainer-what-we-know-so-far-about-wuhan-virus-outbreak,2020-20-01,Today Online,auto,2020-01-20
17,"Wuhan virus: MOH steps up measures to classify, screen and isolate suspected cases from Jan 22",https://www.todayonline.com/singapore/wuhan-virus-moh-steps-measures-classify-screen-and-isolate-suspected-cases-jan-22,2020-21-01,Today Online,auto,2020-01-21
