index,headline,source_url,publish_date,publisher,crawl_type
0,"MOH monitoring China pneumonia outbreak, will implement temperature screening at Changi Airport",https://www.channelnewsasia.com/news/singapore/china-wuhan-pneumonia-moh-changi-airport-temperature-monitoring-12228094,02/01/2020 21:33,Channel News Asia,auto
1,"Chinese girl with pneumonia warded, isolated after travel to Wuhan: MOH",https://www.channelnewsasia.com/news/singapore/wuhan-pneumonia-outbreak-china-girl-warded-isolated-singapore-12233644,04/01/2020 21:00,Channel News Asia,auto
2,"Tests show Chinese girl warded with pneumonia, Wuhan travel history not linked to outbreak in China: MOH",https://www.channelnewsasia.com/news/singapore/chinese-girl-pneumonia-travel-wuhan-common-illness-no-link-12235280,05/01/2020 20:39,Channel News Asia,auto
3,8 Chinese patients diagnosed with unidentified virus released from hospital: Report,https://www.channelnewsasia.com/news/asia/8-chinese-patients-diagnosed-with-unidentified-virus-released-12244450,08/01/2020 22:19,Channel News Asia,auto
4,China pneumonia outbreak may be linked to new type of virus: WHO,https://www.channelnewsasia.com/news/asia/china-pneumonia-outbreak-may-be-linked-to-new-type-of-virus--who-12245550,09/01/2020 07:05,Channel News Asia,auto
5,"Chinese man with pneumonia warded, isolated after travel to Wuhan: MOH",https://www.channelnewsasia.com/news/singapore/chinese-man-warded-isolated-suspected-pneumonia-wuhan-12250874,10/01/2020 19:15,Channel News Asia,auto
6,Commentary: China's Wuhan pneumonia outbreak stirs debate over costly virus hunting,https://www.channelnewsasia.com/news/commentary/china-wuhan-pneumonia-outbreak-virus-cure-immune-shot-12250762,11/01/2020 06:18,Channel News Asia,auto
7,China reports first death from Wuhan pneumonia outbreak,https://www.channelnewsasia.com/news/asia/china-wuhan-first-death-pneumonia-12253512,11/01/2020 09:46,Channel News Asia,auto
8,Chinese man warded with pneumonia after travel to Wuhan not linked to outbreak in China: MOH,https://www.channelnewsasia.com/news/singapore/chinese-man-tests-pneumonia-wuhan-moh-outbreak-12254738,11/01/2020 21:19,Channel News Asia,auto
9,Residents 'not worried' in China's pneumonia-stricken Wuhan,https://www.channelnewsasia.com/news/asia/china-wuhan-virus-pneumonia-outbreak-residents-not-worried-12256282,12/01/2020 05:47,Channel News Asia,manual
10,Chinese woman with mystery virus quarantined in Thailand,https://www.channelnewsasia.com/news/asia/chinese-woman-mystery-virus-quarantined-thailand-wuhan-pneumonia-12259128,13/01/2020 19:45,Channel News Asia,auto
11,Spread of new China virus 'possible': WHO,https://www.channelnewsasia.com/news/world/who-wuhan-pneumonia-virus-china-spread-warning-hospitals-12262254,14/01/2020 18:51,Channel News Asia,auto
12,US warns citizens in China against pneumonia outbreak,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-mystery-virus-outbreak-cdc-12264974,15/01/2020 15:32,Channel News Asia,auto
13,Mystery China virus patients could have infected family members: Officials,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-virus-china-infected-family-members-12265616,15/01/2020 18:24,Channel News Asia,auto
14,"Japan confirms case of new Chinese virus, spread is 'concerning'",https://www.channelnewsasia.com/news/world/wuhan-pneumonia-coronavirus-outbreak-japan-first-case-12267106,16/01/2020 10:36,Channel News Asia,manual
15,"Singaporean man with pneumonia warded, isolated after travel to Wuhan: MOH",https://www.channelnewsasia.com/news/singapore/wuhan-pneumonia-outbreak-possible-case-reported-singapore-moh-12268870,16/01/2020 20:06,Channel News Asia,auto
16,Second person dies in Wuhan pneumonia outbreak,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-outbreak-china-second-dead-sars-12270432,17/01/2020 08:58,Channel News Asia,auto
17,"Thailand finds second case of new Wuhan virus, says no outbreak",https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-outbreak-thailand-second-case-coronavirus-12272486,17/01/2020 13:58,Channel News Asia,auto
18,US to screen passengers for new China coronavirus at three airports,https://www.channelnewsasia.com/news/world/us-screen-passengers-new-china-coronavirus-wuhan-airports-12277780,18/01/2020 03:30,Channel News Asia,manual
19,Wuhan pneumonia virus casts shadow over Chinese New Year festival,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-virus-shadow-chinese-new-year-12278808,18/01/2020 05:17,Channel News Asia,manual
20,Hundreds likely affected by China virus: Researchers,https://www.channelnewsasia.com/news/asia/wuhan-hundreds-likely-affected-by-china-virus-researchers-12278290,18/01/2020 10:14,Channel News Asia,manual
21,China reports four more cases in Wuhan virus outbreak,https://www.channelnewsasia.com/news/asia/china-reports-four-more-cases-in-wuhan-virus-outbreak-12278384,18/01/2020 10:33,Channel News Asia,manual
22,China reports 17 new cases in Wuhan virus outbreak,https://www.channelnewsasia.com/news/asia/china-reports-17-new-cases-in-wuhan-virus-outbreak-12282400,19/01/2020 10:30,Channel News Asia,manual
23,China to step up countermeasures as Wuhan virus outbreak grows,https://www.channelnewsasia.com/news/asia/china-wuhan-pneumonia-coronavirus-outbreak-chinese-new-year-12287158,20/01/2020 06:13,Channel News Asia,auto
24,"China confirms 139 new cases of pneumonia, virus spreads to Beijing and Shenzhen",https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-coronavirus-outbreak-china-beijing-shenzhen-12287274,20/01/2020 07:55,Channel News Asia,auto
25,Wuhan pneumonia virus outbreak: What we know so far,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-coronavirus-outbreak-china-what-we-know-12287704,20/01/2020 10:14,Channel News Asia,auto
26,South Korea confirms first case of new coronavirus in Chinese visitor,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-coronavirus-outbreak-china-south-korea-12288598,20/01/2020 12:42,Channel News Asia,auto
27,"Chinese investors dump tourism stocks, chase drugmakers as coronavirus spreads",https://www.channelnewsasia.com/news/business/wuhan-pneumonia-coronavirus-outbreak-china-stocks-12288816,20/01/2020 13:11,Channel News Asia,auto
28,Chinese travellers unfazed as SARS-like virus spreads,https://www.channelnewsasia.com/news/asia/china-wuhan-pneumonia-coronavirus-spread-chinese-new-year-12290728,20/01/2020 17:46,Channel News Asia,auto
29,Wuhan virus: All travellers arriving in Singapore from China to undergo temperature screening,https://www.channelnewsasia.com/news/singapore/wuhan-pneumonia-coronavirus-outbreak-china-travellers-singapore-12291456,20/01/2020 19:42,Channel News Asia,auto
30,China confirms 218 pneumonia cases as President Xi urges 'top priority' for protecting lives,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-coronavirus-xi-jinping-new-cases-china-12291808,20/01/2020 21:23,Channel News Asia,auto
31,"SARS-like virus spreads in China, nearly 140 new cases",https://www.channelnewsasia.com/news/world/sars-like-virus-spreads-in-china--nearly-140-new-cases-12287750,20/01/2020 21:23,Channel News Asia,auto
32,China confirms human-to-human transmission of Wuhan virus as WHO announces emergency meet,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-coronavirus-china-confirms-human-transmission-12293414,21/01/2020 02:27,Channel News Asia,auto
33,Wuhan authorities report fourth death from pneumonia outbreak,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-virus-coronavirus-china-deaths-12294100,21/01/2020 07:12,Channel News Asia,auto
34,"Australia to screen some China flights, warns new virus difficult to stop",https://www.channelnewsasia.com/news/world/wuhan-pneumonia-coronavirus-outbreak-australia-screening-12294170,21/01/2020 08:46,Channel News Asia,auto
35,"Wuhan virus outbreak: 15 medical workers infected, 1 in critical condition",https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-outbreak-health-workers-coronavirus-12294212,21/01/2020 09:47,Channel News Asia,auto
36,Wuhan pneumonia outbreak: A timeline of how the new coronavirus spread,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-china-virus-coronavirus-timeline-spread-12294320,21/01/2020 10:48,Channel News Asia,auto
37,Hong Kong tourism stocks take hit as virus spooks investors,https://www.channelnewsasia.com/news/business/hong-kong-tourism-stocks-take-hit-as-virus-spooks-investors-12295126,21/01/2020 14:42,Channel News Asia,auto
38,Wuhan pneumonia outbreak: Asia ramps up defence against coronavirus,https://www.channelnewsasia.com/news/asia/wuhan-virus-asian-countries-ramp-up-defences-efforts-12295376,21/01/2020 14:50,Channel News Asia,auto
39,Philippines probes possible case of virus from China,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-philippines-probing-possible-case-virus-china-12295636,21/01/2020 15:40,Channel News Asia,auto
40,"Wuhan virus outbreak: Thai man possibly infected, authorities investigating",https://www.channelnewsasia.com/news/asia/wuhan-virus-outbreak-thai-man-possibly-infected-12295788,21/01/2020 16:33,Channel News Asia,auto
41,"Wuhan virus: China confirms 291 cases, death toll rises to 6",https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-coronavirus-china-confirms-291-cases-12296018,21/01/2020 17:15,Channel News Asia,auto
42,Wuhan virus outbreak prompts Chinese travel firms to offer free cancellations,https://www.channelnewsasia.com/news/business/wuhan-pneumonia-virus-china-travel-firms-free-cancellation-12296008,21/01/2020 17:31,Channel News Asia,auto
43,"Hong Kong scientists warn of 'super spreader' Wuhan virus, say more than 1,300 likely infected",https://www.channelnewsasia.com/news/asia/wuhan-virus-hong-kong-scientists-warn-super-spreader-12295972,21/01/2020 17:44,Channel News Asia,auto
44,Wuhan virus: Singapore to isolate all travellers from China with pneumonia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-travellers-from-china-pneumonia-coronavirus-12296402,21/01/2020 19:10,Channel News Asia,auto
45,Taiwan reports first case of new Wuhan pneumonia virus,https://www.channelnewsasia.com/news/asia/taiwan-reports-first-case-of-new-wuhan-pneumonia-virus-12296812,21/01/2020 20:03,Channel News Asia,auto
46,Wuhan virus: Death toll rises to 6 as number of cases climbs past 300 in China,https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-china-300-cases-6-dead-coronavirus-12297438,21/01/2020 22:22,Channel News Asia,auto
47,Wuhan virus: Infectious diseases centre Singapore's first line of defence,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-national-centre-infectious-diseases-12297584,21/01/2020 22:51,Channel News Asia,auto
