index,headline,source_url,publish_date,publisher,crawl_type
0,China Grapples With Mystery Pneumonia-Like Illness,https://www.nytimes.com/2020/01/06/world/asia/china-SARS-pneumonialike.html,07/01/2020 01:14:52,The New York Times,auto
1,China Identifies New Virus Causing Pneumonialike Illness,https://www.nytimes.com/2020/01/08/health/china-pneumonia-outbreak-virus.html,09/01/2020 10:48:29,The New York Times,auto
2,China Reports First Death From New Virus,https://www.nytimes.com/2020/01/10/world/asia/china-virus-wuhan-death.html,11/01/2020 09:41:56,The New York Times,auto
3,Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus,https://www.nytimes.com/2020/01/17/health/china-coronavirus-airport-screening.html,18/01/2020 03:00:08,The New York Times,auto
4,Deadly Mystery Virus Reported in 2 New Chinese Cities and South Korea,https://www.nytimes.com/2020/01/18/world/asia/china-virus-wuhan-coronavirus.html,19/01/2020 10:56:42,The New York Times,auto
5,China Confirms New Coronavirus Spreads From Humans to Humans,https://www.nytimes.com/2020/01/20/world/asia/coronavirus-china-symptoms.html,20/01/2020 18:59:15,The New York Times,auto
6,The Test a Deadly Coronavirus Outbreak Poses to China’s Leadership,https://www.nytimes.com/2020/01/21/world/asia/china-coronavirus-wuhan.html,21/01/2020 16:26:13,The New York Times,auto
7,"Impeachment Trial, Davos, Coronavirus: Your Tuesday Briefing",https://www.nytimes.com/2020/01/21/briefing/impeachment-trial-davos-coronavirus.html,21/01/2020 18:22:53,The New York Times,auto
8,"North Korea Bans Foreign Tourists Over Coronavirus, Tour Operator Says",https://www.nytimes.com/2020/01/21/world/asia/coronavirus-china-north-korea-tourism-ban.html,22/01/2020 02:16:46,The New York Times,auto
9,First Patient With Wuhan Coronavirus Is Identified in the U.S.,https://www.nytimes.com/2020/01/21/health/cdc-coronavirus.html,22/01/2020 02:31:19,The New York Times,auto
10,"What Is the Coronavirus? Symptoms, Treatment and Risks",https://www.nytimes.com/article/what-is-coronavirus.html,22/01/2020 04:06:18,The New York Times,auto
11,"Wuhan Coronavirus, Impeachment, Climate Change: Your Wednesday Briefing",https://www.nytimes.com/2020/01/21/briefing/wuhan-coronavirus-climate-change-impeachment.html,22/01/2020 04:39:20,The New York Times,auto
12,Wuhan Coronavirus Map: Tracking the Spread of the Outbreak,https://www.nytimes.com/interactive/2020/01/21/world/asia/china-coronavirus-maps.html,22/01/2020 05:37:37,The New York Times,auto
13,"Impeachment, Wuhan, Derek Jeter: Your Tuesday Evening Briefing",https://www.nytimes.com/2020/01/21/briefing/impeachment-wuhan-derek-jeter.html,22/01/2020 07:25:37,The New York Times,auto
14,"Coronavirus, Davos, Impeachment: Your Wednesday Briefing",https://www.nytimes.com/2020/01/22/briefing/coronavirus-davos-impeachment.html,22/01/2020 13:49:40,The New York Times,auto
15,"Wuhan, Center of Coronavirus Outbreak, Is Being Cut Off by Chinese Authorities",https://www.nytimes.com/2020/01/22/world/asia/china-coronavirus-travel.html,22/01/2020 15:16:59,The New York Times,auto
16,"As New Virus Spreads From China, Scientists See Grim Reminders",https://www.nytimes.com/2020/01/22/health/china-virus.html,22/01/2020 18:00:24,The New York Times,auto
17,"Impeachment, Coronavirus, Terry Jones: Your Wednesday Briefing",https://www.nytimes.com/2020/01/22/briefing/impeachment-coronavirus-jeff-bezos.html,22/01/2020 18:45:52,The New York Times,auto
18,"Wuhan Coronavirus, Brexit, Australian Open: Your Thursday Briefing",https://www.nytimes.com/2020/01/22/briefing/wuhan-coronavirus-brexit-australian-open.html,23/01/2020 05:27:31,The New York Times,auto
19,A Scramble to Retrace the Steps of the First Wuhan Coronavirus Case in the U.S.,https://www.nytimes.com/2020/01/22/us/coronavirus-seattle-washington.html,23/01/2020 09:23:43,The New York Times,auto
20,Scale of China’s Wuhan Shutdown Is Believed to Be Without Precedent,https://www.nytimes.com/2020/01/22/world/asia/coronavirus-quarantines-history.html,23/01/2020 10:55:48,The New York Times,auto
21,"Coronavirus Death Toll Climbs in China, and a Lockdown Widens",https://www.nytimes.com/2020/01/23/world/asia/china-coronavirus.html,23/01/2020 13:10:24,The New York Times,auto
