index,headline,source_url,publish_date,publisher,crawl_type
0,Travellers arriving at Changi Airport from Wuhan to undergo temperature screening after pneumonia outbreak,https://www.straitstimes.com/singapore/ministry-of-health-issues-advisory-on-viral-pneumonia-outbreak-in-chinas-wuhan,02/01/2020 09:01,The Straits Times,manual
1,"No need to avoid visiting Wuhan but take precautions amid pneumonia outbreak, say Singapore experts",https://www.straitstimes.com/singapore/no-need-to-avoid-visiting-wuhan-but-take-precautions-say-singapore-experts,03/01/2020 07:31,The Straits Times,manual
2,3-year-old girl with pneumonia and travel history to Wuhan is not linked to outbreak in China: MOH,https://www.straitstimes.com/singapore/3-year-old-girl-with-pneumonia-and-travel-history-to-wuhan-is-not-linked-to-outbreak-in,05/01/2020 08:08,The Straits Times,manual
3,Wuhan pneumonia outbreak: China rules out Sars as source; WHO says no evidence of human-to-human transmission,https://www.straitstimes.com/asia/east-asia/wuhan-pneumonia-outbreak-china-says-no-human-to-human-transmission-as-it-hunts-for,06/01/2020 11:51,The Straits Times,manual
4,"Wuhan pneumonia outbreak may be linked to new type of virus from same family as Sars, Mers: WHO",https://www.straitstimes.com/asia/east-asia/wuhan-pneumonia-outbreak-may-be-linked-to-new-type-of-virus-who,09/01/2020 08:54,The Straits Times,manual
5,Wuhan flu caused by new coronavirus: More about the pathogen behind the outbreak,https://www.straitstimes.com/asia/east-asia/wuhan-flu-caused-by-new-coronavirus-more-about-the-pathogen-behind-the-outbreak,10/01/2020 08:53,The Straits Times,manual
6,Second suspected case of Wuhan virus in Singapore tests negative,https://www.straitstimes.com/singapore/health/second-suspected-case-of-wuhan-virus-in-singapore-tests-negative,11/01/2020 09:01,The Straits Times,manual
7,Everything is going on normally'- Wuhan's curious nonchalance to virus outbreak,https://www.straitstimes.com/asia/east-asia/wuhan-grapples-with-mystery-pneumonia,11/01/2020 09:18,The Straits Times,manual
8,"Third suspected Wuhan virus case detected in Singapore, man isolated as precaution",https://www.straitstimes.com/singapore/3rd-suspected-wuhan-virus-case-detected-in-singapore-man-isolated-as-precaution,16/01/2020 07:42,The Straits Times,manual
9,Japan confirms first case of infection from Wuhan coronavirus; Vietnam quarantines two tourists,https://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus,16/01/2020 08:52,The Straits Times,manual
10,"Wuhan virus: China reports second death, second case found in Thailand",https://www.straitstimes.com/asia/east-asia/wuhan-virus-claims-second-victim-in-china,17/01/2020 06:55,The Straits Times,manual
11,"Experts warn about scale of Wuhan virus as US airports start screening, more cases reported in China",https://www.straitstimes.com/asia/east-asia/experts-warn-over-scale-of-wuhan-virus-as-us-airports-start-screening-more-cases,18/01/2020 01:38,The Straits Times,manual
12,US to screen passengers for new China coronavirus at 3 airports,https://www.straitstimes.com/world/united-states/us-to-screen-passengers-for-sars-like-china-mystery-virus,18/01/2020 03:30,The Straits Times,manual
13,"New suspected Wuhan virus case in Singapore, remaining 5 have tested negative",https://www.straitstimes.com/singapore/new-suspected-wuhan-virus-case-in-singapore-remaining-five-have-tested-negative,18/01/2020 08:39,The Straits Times,manual
14,Evidence Wuhan virus can be passed from person to person as infections in China exceed 200,https://www.straitstimes.com/asia/east-asia/evidence-wuhan-mystery-illness-can-be-passed-from-person-to-person-who-official-says,20/01/2020 04:28,The Straits Times,manual
15,"Masks on, Chinese start holiday travels as alarm mounts over Wuhan mystery virus",https://www.straitstimes.com/asia/east-asia/masks-on-chinese-start-holiday-travels-as-alarm-mounts-over-wuhan-mystery-virus,20/01/2020 06:24,The Straits Times,manual
16,Wuhan virus: Singapore expands temperature screening to all travellers arriving from China,https://www.straitstimes.com/singapore/health/moh-steps-up-measures-against-wuhan-virus-as-cny-approaches,20/01/2020 06:58,The Straits Times,manual
17,Wuhan virus: When being upfront isn't enough in China,https://www.straitstimes.com/asia/east-asia/wuhan-virus-when-being-upfront-isnt-enough-in-china,21/01/2020 05:00,The Straits Times,manual
18,Wuhan virus: A timeline of how the new coronavirus developed,https://www.straitstimes.com/asia/east-asia/wuhan-virus-a-timeline-of-how-the-new-coronavirus-developed,21/01/2020 07:18,The Straits Times,auto
19,"Wuhan virus: China reports sixth death in pneumonia outbreak, Asian markets spooked",https://www.straitstimes.com/asia/east-asia/china-says-fourth-person-dies-in-wuhan-pneumonia-outbreak,21/01/2020 07:52,The Straits Times,auto
20,Australia testing first suspected case of Chinese virus,https://www.straitstimes.com/asia/australianz/wuhan-virus-australia-to-screen-some-flights-from-china-warns-coronavirus-difficult,21/01/2020 08:19,The Straits Times,auto
21,"Wuhan virus won't be on scale of Sars, says Chinese top expert Zhong Nanshan",https://www.straitstimes.com/asia/east-asia/wuhan-virus-wont-be-on-scale-of-sars-says-chinese-top-expert-zhong-nanshan,21/01/2020 13:29,The Straits Times,auto
22,Wuhan virus: Investors and product sellers look to profit from new coronavirus in China,https://www.straitstimes.com/business/companies-markets/investors-and-product-sellers-look-to-profit-from-virus-in-china,21/01/2020 15:49,The Straits Times,auto
23,Wuhan virus outbreak prompts Chinese travel firms to offer free cancellations,https://www.straitstimes.com/asia/east-asia/virus-outbreak-prompts-chinese-travel-firms-to-offer-free-cancellations,21/01/2020 17:07,The Straits Times,auto
24,The Big Story: How the Wuhan virus compares with Sars; global leaders in Davos; and bad manners at Sembawang hot spring,https://www.straitstimes.com/multimedia/the-big-story-how-the-wuhan-virus-compares-with-sars-global-leaders-in-davos-and-bad,21/01/2020 17:15,The Straits Times,auto
25,"Philippines, Australia probe suspected cases of Wuhan virus",https://www.straitstimes.com/asia/philippines-australia-probe-suspected-cases-of-wuhan-virus,21/01/2020 17:27,The Straits Times,auto
26,Wuhan virus: Singapore to isolate all travellers from China with pneumonia; 7th suspect tests negative,https://www.straitstimes.com/singapore/health/wuhan-virus-singapore-widening-isolation-measures-7th-suspect-tests-negative,21/01/2020 19:09,The Straits Times,auto
27,Wuhan virus: Taiwan reports first case,https://www.straitstimes.com/asia/east-asia/wuhan-virus-taiwan-reports-first-case,21/01/2020 19:35,The Straits Times,auto
28,Russia steps up airport screening of Chinese travellers over fears of Wuhan virus,https://www.straitstimes.com/world/europe/russia-steps-up-airport-screening-of-chinese-travellers-over-fears-of-wuhan-virus,21/01/2020 19:48,The Straits Times,auto
