index,headline,source_url,publish_date,publisher
0,"Patient observes professionalism of TTSH medical staff, says they inspire & bring out best in her",https://www.mothership.sg/2020/02/ttsh-medical-staff-professional-tribute/,13-02-2020 07:20:00,Mothership
1,Wuhan evacuees throw face masks in the air to celebrate end of 14-day quarantine,https://www.mothership.sg/2020/02/throw-face-masks-coronavirus/,13-02-2020 06:57:00,Mothership
2,RWS: Casino employee did not serve VIP guests from Wuhan prior to coronavirus infection,https://www.mothership.sg/2020/02/rws-casino-employee-35-served-vip-guests-from-wuhan-prior-to-novel-coronavirus-infection/,13-02-2020 06:05:00,Mothership
3,Man in India allegedly commits suicide after believing he had coronavirus infection,https://www.mothership.sg/2020/02/india-coronavirus-suicide/,13-02-2020 05:19:00,Mothership
4,21 out of 50 coronavirus patients in S’pore linked to these 5 clusters,https://www.mothership.sg/2020/02/singapore-coronavirus-5-clusters/,13-02-2020 04:58:00,Mothership
5,Coronavirus: Cleaning your phone might be one of the best ways to protect yourself more,https://www.mothership.sg/2020/02/phones-wuhan-virus-germs/,13-02-2020 04:27:00,Mothership
6,China puts up banners with hilarious threats to remind people to wear face masks,https://www.mothership.sg/2020/02/china-slogans-coronavirus-masks/,13-02-2020 04:00:00,Mothership
7,S’poreans write letters of encouragement to front line healthcare workers,https://www.mothership.sg/2020/02/letters-to-healthcare-workers-compilation/,13-02-2020 03:53:00,Mothership
8,Indonesians travelling from S’pore to Indonesia won’t be refused entry,https://www.mothership.sg/2020/02/indonesia-singapore-coronavirus/,13-02-2020 03:46:00,Mothership
9,‘Disgraceful’ to discriminate healthcare workers over fears of coronavirus: Amrin Amin,https://www.mothership.sg/2020/02/amrin-amin-nurses-discrimination/,13-02-2020 03:29:00,Mothership
10,"Medical practitioners issue signed letter asking people to wear masks when leaving home, MOH responds",https://www.mothership.sg/2020/02/medical-health-advisory/,13-02-2020 03:21:00,Mothership
11,"1 million masks to be set aside for frontline medical workers, even private doctors: Gan Kim Yong",https://www.mothership.sg/2020/02/1-million-masks-private-doctors/,13-02-2020 02:52:00,Mothership
12,"6 more S’pore coronavirus patients discharged, 6-month-old baby “well”",https://www.mothership.sg/2020/02/recovered-coronavirus-patients/,13-02-2020 02:46:00,Mothership
13,"Police identify 2 youths, aged 17, in FairPrice supermarket sipping drinks & putting them back",https://www.mothership.sg/2020/02/fairprice-sip-drinks-police/,13-02-2020 02:40:00,Mothership
