index,headline,source_url,publish_date,publisher
0,"Coronavirus: Hong Kong textile industry producing nearly 3,000 handmade reusable fabric masks amid acute shortage of face coverings",http://www.scmp.com/news/article/3049737/coronavirus-hong-kong-textile-industry-producing-nearly-3000-handmade-reusable,10-02-2020 12:00:20,SCMP
1,"Coronavirus: South Korea, Thailand confirm cases of human transmission",http://www.scmp.com/news/asia/article/3048353/coronavirus-south-korea-confirms-seventh-case-japan-considers-tighter,31-01-2020 12:18:37,SCMP
2,China coronavirus: Philippines and Australia investigating suspected cases after Wuhan visits,http://www.scmp.com/news/asia/australasia/article/3046952/china-coronavirus-australia-isolates-man-showing-symptoms,21-01-2020 11:58:26,SCMP
3,Australia to shut border to foreign nationals arriving from China to fight spread of coronavirus,http://www.scmp.com/news/asia/australasia/article/3048525/qantas-air-nz-suspend-china-flights-japan-declares,01-02-2020 13:40:02,SCMP
4,Coronavirus: New Zealand to bar entry to foreigners travelling from mainland China,http://www.scmp.com/news/asia/australasia/article/3048582/coronavirus-new-zealand-bar-entry-foreigners-travelling,02-02-2020 13:25:28,SCMP
5,Coronavirus: Australia evacuates 243 people from China as deaths mount,http://www.scmp.com/news/asia/australasia/article/3048674/coronavirus-australia-evacuates-243-people-china-deaths-mount,03-02-2020 13:02:00,SCMP
6,Chinese sex workers in New Zealand shunned amid coronavirus fears,http://www.scmp.com/news/asia/australasia/article/3048857/coronavirus-chinese-sex-workers-new-zealand-suffer-dip,04-02-2020 12:00:20,SCMP
7,"Coronavirus: Australia, Vietnam quarantine Wuhan evacuees, but Cambodia’s PM wants to visit Chinese city",http://www.scmp.com/news/asia/australasia/article/3048924/coronavirus-australia-vietnam-evacuees-quarantined-cambodia,04-02-2020 17:01:18,SCMP
8,China pneumonia: Singapore reports first suspected case linked to Wuhan,http://www.scmp.com/news/asia/east-asia/article/3044730/china-pneumonia-singapore-reports-first-suspected-case-linked,05-01-2020 14:47:56,SCMP
9,Chinese worker who visited Wuhan quarantined as South Korea reports first possible case of mystery pneumonia virus,http://www.scmp.com/news/asia/east-asia/article/3045249/chinese-worker-who-visited-wuhan-quarantined-south-korea,08-01-2020 21:28:45,SCMP
10,Wuhan pneumonia: China steps up efforts to control spread of coronavirus,http://www.scmp.com/news/asia/east-asia/article/3046301/wuhan-pneumonia-japan-confirms-first-case-new-china-coronavirus,16-01-2020 09:30:28,SCMP
11,China coronavirus outbreak: South Korea reports first case days before Lunar New Year tourist rush,http://www.scmp.com/news/asia/east-asia/article/3046815/china-coronavirus-outbreak-south-korea-reports-first-case,20-01-2020 14:44:40,SCMP
12,China coronavirus: Asia travellers make it home on last flights out of Wuhan,http://www.scmp.com/news/asia/east-asia/article/3047428/china-coronavirus-asia-travellers-make-it-home-last-flights-out,23-01-2020 20:27:43,SCMP
13,"China coronavirus: new cases confirmed in Singapore, Japan, South Korea and Nepal",http://www.scmp.com/news/asia/east-asia/article/3047463/china-coronavirus-japan-confirms-second-case-health-ministry,24-01-2020 06:52:32,SCMP
14,Japanese bus driver who had not visited China contracts coronavirus,http://www.scmp.com/news/asia/east-asia/article/3047913/japanese-bus-driver-who-had-never-been-wuhan-contracts,28-01-2020 17:32:28,SCMP
15,China coronavirus: Japanese evacuees describe confusion in Wuhan as infection spreads,http://www.scmp.com/news/asia/east-asia/article/3048007/china-coronavirus-japanese-evacuees-describe-confusion-wuhan,29-01-2020 11:30:05,SCMP
16,"China coronavirus: Japan confirms three evacuees from Wuhan infected, bringing total to 11",http://www.scmp.com/news/asia/east-asia/article/3048158/china-coronavirus-japan-confirms-3-evacuees-wuhan-infected,30-01-2020 09:30:39,SCMP
17,Wuhan coronavirus: what a photo of a drunk Chinese man in Seoul says about fears of the disease,http://www.scmp.com/news/asia/east-asia/article/3048222/wuhan-coronavirus-what-photo-drunk-chinese-man-seoul-says-about,30-01-2020 16:00:14,SCMP
18,Coronavirus: global travel restrictions imposed on Chinese travellers as airlines cut flights to mainland,http://www.scmp.com/news/asia/east-asia/article/3048417/coronavirus-global-travel-restrictions-imposed-chinese,31-01-2020 17:03:50,SCMP
19,Coronavirus: Japan quarantines cruise ship that called at Hong Kong,http://www.scmp.com/news/asia/east-asia/article/3048795/coronavirus-japan-quarantines-cruise-ship-called-hong-kong,03-02-2020 23:40:09,SCMP
20,"Coronavirus: 10 passengers stuck on Diamond Princess cruise ship infected, raising Japan tally to 35",http://www.scmp.com/news/asia/east-asia/article/3049016/coronavirus-passengers-cruise-ship-docked-japan-after-hong-kong,05-02-2020 07:32:14,SCMP
21,Coronavirus cases in South Korea and Malaysia linked to Singapore meeting spark WHO investigation,http://www.scmp.com/news/asia/east-asia/article/3049091/coronavirus-south-korea-confirms-two-new-cases-including-man,05-02-2020 11:26:35,SCMP
22,"Coronavirus: 20 infected, thousands quarantined on Diamond Princess cruise ship in Japan",http://www.scmp.com/news/asia/east-asia/article/3049259/coronavirus-20-infected-quarantined-diamond-princess-cruise,06-02-2020 09:52:40,SCMP
23,"Want to avoid the coronavirus? Forget face masks, top airline doctor says",http://www.scmp.com/news/asia/east-asia/article/3049275/want-avoid-coronavirus-forget-face-masks-top-airline-doctor,06-02-2020 12:00:10,SCMP
24,Coronavirus: how a luxury cruise became ‘a floating prison’ during quarantine in Japan,http://www.scmp.com/news/asia/east-asia/article/3049422/coronavirus-how-luxury-cruise-became-floating-prison-during,07-02-2020 08:05:12,SCMP
25,"Coronavirus: 41 new cases confirmed on Diamond Princess cruise ship, bringing total to 61",http://www.scmp.com/news/asia/east-asia/article/3049431/coronavirus-41-new-cases-confirmed-cruise-ship-japan-bringing,07-02-2020 09:22:09,SCMP
26,"Coronavirus: South Korean returnee from Wuhan tests positive, Malaysia confirms one more",http://www.scmp.com/news/asia/east-asia/article/3049516/coronavirus-south-korean-returnee-wuhan-tests-positive-countrys,07-02-2020 16:14:00,SCMP
27,Coronavirus: total infections on board Diamond Princess cruise ship rises to 64,http://www.scmp.com/news/asia/east-asia/article/3049629/coronavirus-three-new-infections-board-cruise-ship-japan,08-02-2020 09:45:01,SCMP
28,"Mass wedding in South Korea attracts turnout of 30,000 despite coronavirus fears",http://www.scmp.com/news/asia/east-asia/article/3049630/mass-wedding-south-korea-attracts-turnout-30000-despite,08-02-2020 12:00:29,SCMP
29,Japan finds 65 more coronavirus infections on Diamond Princess cruise ship,http://www.scmp.com/news/asia/east-asia/article/3049801/japan-finds-60-more-coronavirus-infections-diamond-princess,10-02-2020 13:46:01,SCMP
30,"Coronavirus: another 39 infections found on Diamond Princess cruise ship off Japan, bringing total to 174",http://www.scmp.com/news/asia/east-asia/article/3050163/coronavirus-another-39-infected-found-diamond-princess-cruise,12-02-2020 09:24:06,SCMP
31,"China coronavirus: Sri Lanka confirms first case, a tourist from Hubei",http://www.scmp.com/news/asia/south-asia/article/3047837/china-coronavirus-sri-lanka-confirms-first-case-tourist-hubei,28-01-2020 02:24:50,SCMP
32,Coronavirus: China ally Pakistan resumes flights despite outbreak fears,http://www.scmp.com/news/asia/south-asia/article/3048790/coronavirus-all-weather-ally-pakistan-bucks-trend-and-resumes,03-02-2020 22:11:44,SCMP
33,Love in the time of coronavirus: Chinese bride won’t let epidemic spoil her big day in India,http://www.scmp.com/news/asia/south-asia/article/3048977/love-time-coronavirus-chinese-bride-wont-let-epidemic-spoil,04-02-2020 21:07:25,SCMP
34,China coronavirus outbreak: Malaysia on ‘high alert’ ahead of Lunar New Year travel rush,http://www.scmp.com/news/asia/southeast-asia/article/3046883/china-coronavirus-outbreak-malaysia-high-alert,20-01-2020 19:07:06,SCMP
35,China coronavirus: Singapore confirms first case from Wuhan; second case suspected,http://www.scmp.com/news/asia/southeast-asia/article/3047437/china-coronavirus-chinese-man-wuhan-confirmed-singapores,23-01-2020 21:30:17,SCMP
36,"China coronavirus: Malaysia confirms three cases, Australia has four",http://www.scmp.com/news/asia/southeast-asia/article/3047634/china-coronavirus-three-cases-confirmed-malaysia-one,25-01-2020 12:05:53,SCMP
37,China coronavirus: Singapore and Malaysia both report fourth confirmed cases,http://www.scmp.com/news/asia/southeast-asia/article/3047663/china-coronavirus-singapore-and-malaysia-both-report,26-01-2020 02:15:26,SCMP
38,China coronavirus: Singapore reports fifth confirmed case after Chinese woman flies from Wuhan with family,http://www.scmp.com/news/asia/southeast-asia/article/3047835/china-coronavirus-singapore-reports-fifth-confirmed-case,28-01-2020 00:53:49,SCMP
39,Coronavirus: Philippines stops issuing tourist visas on arrival to Chinese nationals,http://www.scmp.com/news/asia/southeast-asia/article/3047861/coronavirus-philippines-stops-issuing-visas-arrival,28-01-2020 11:38:08,SCMP
