index,headline,source_url,publish_date,publisher
0,"Kuwait, Qatar want its citizens to hold their travel plans to Singapore due to coronavirus outbreak",https://www.theonlinecitizen.com/2020/02/10/kuwait-qatar-want-its-citizens-to-hold-their-travel-plans-to-singapore-due-to-coronavirus-outbreak/,"10 Feb, 2020",The Online Citizen
1,Charity organisation opens first community store in Mountbatten that allows needy households to choose their own food for free,https://www.theonlinecitizen.com/2020/02/10/charity-organisation-opens-first-community-store-in-mountbatten-that-allows-needy-households-to-choose-their-own-food-for-free/,"10 Feb, 2020",The Online Citizen
2,SDP’s climate change policy paper: Taking urgent measures towards a smart and green future,https://www.theonlinecitizen.com/2020/02/10/sdps-climate-change-policy-paper-taking-urgent-measures-towards-a-smart-and-green-future/,"10 Feb, 2020",The Online Citizen
3,SCDF thanks Good Samaritans for leaving cartons of Milo at fire stations and posts islandwide,https://www.theonlinecitizen.com/2020/02/10/scdf-thanks-good-samaritans-for-leaving-cartons-of-milo-at-fire-stations-and-posts-islandwide/,"10 Feb, 2020",The Online Citizen
4,SCDF thanks Good Samaritans for leaving cartons of Milo at fire stations and posts islandwide,https://www.theonlinecitizen.com/2020/02/10/scdf-thanks-good-samaritans-for-leaving-cartons-of-milo-at-fire-stations-and-posts-islandwide/,"10 Feb, 2020",The Online Citizen
5,FairPrice sets buying limit to discourage overbuying and hoarding; Sheng Siong opts not to as they trust public to be rational,https://www.theonlinecitizen.com/2020/02/10/fairprice-sets-buying-limit-to-discourage-overbuying-and-hoarding-sheng-siong-opts-not-to-as-they-trust-public-to-be-rational/,"10 Feb, 2020",The Online Citizen
6,FairPrice Group CEO says limitation on purchasing essential items imposed to “catch up” on deliveries to stores,https://www.theonlinecitizen.com/2020/02/10/fairprice-group-ceo-says-limitation-on-purchasing-essential-items-imposed-to-catch-up-on-deliveries-to-stores/,"10 Feb, 2020",The Online Citizen
7,Mixed reaction from netizens on PM Lee Hsien Loong’s 8 Feb message to Singapore,https://www.theonlinecitizen.com/2020/02/10/mixed-reaction-from-netizens-on-pm-lee-hsien-loongs-8-feb-message-to-singapore/,"10 Feb, 2020",The Online Citizen
9,M’sia novel coronavirus cases rise to 18,https://www.theonlinecitizen.com/2020/02/10/msia-novel-coronavirus-cases-rise-to-18/,"10 Feb, 2020",The Online Citizen
10,3 previous coronavirus cases with no links now traced to infected PRC couple from Wuhan,https://www.theonlinecitizen.com/2020/02/10/3-previous-coronavirus-cases-with-no-links-now-traced-to-infected-prc-couple-from-wuhan/,"10 Feb, 2020",The Online Citizen
11,NTUC FairPrice imposes purchase limit for customers; Online store labels rice products mostly out of stock,https://www.theonlinecitizen.com/2020/02/10/ntuc-fairprice-imposes-purchase-limit-for-customers-online-store-labels-rice-products-mostly-out-of-stock/,"10 Feb, 2020",The Online Citizen
12,Netizens criticise MOM’s Leave of Absence rules and think it’s a joke,https://www.theonlinecitizen.com/2020/02/10/netizens-criticise-moms-leave-of-absence-rules-and-think-its-a-joke/,"10 Feb, 2020",The Online Citizen
13,MAS: financial institutions to adopt additional precautions and measures amid increased alert level,https://www.theonlinecitizen.com/2020/02/10/mas-financial-institutions-to-adopt-additional-precautions-and-measures-amid-increased-alert-level/,"10 Feb, 2020",The Online Citizen
14,China stutters back to work as virus deaths soar,https://www.theonlinecitizen.com/2020/02/10/china-stutters-back-to-work-as-virus-deaths-soar/,"10 Feb, 2020",The Online Citizen
15,China virus deaths jump to 902: official,https://www.theonlinecitizen.com/2020/02/10/china-virus-deaths-jump-to-902-official/,"10 Feb, 2020",The Online Citizen
16,MOH: Three more cases of 2019-nCoV infection in Singapore without travel history to China or links to previously confirmed cases,https://www.theonlinecitizen.com/2020/02/09/moh-three-more-cases-of-2019-ncov-infection-in-singapore-without-travel-history-to-china-or-links-to-previously-confirmed-cases/,"9 Feb, 2020",The Online Citizen
17,MOM suspends work pass privilege of six employers and bans four workers permanently for breaching leave of absence requirement,https://www.theonlinecitizen.com/2020/02/09/mom-suspends-work-pass-privilege-of-six-employers-and-bans-four-workers-permanently-for-breaching-leave-of-absence-requirement/,"9 Feb, 2020",The Online Citizen
18,"Dr Tan Cheng Bock urges public to “stay calm”, “take care” and “be considerate”",https://www.theonlinecitizen.com/2020/02/09/dr-tan-cheng-bock-urges-public-to-stay-calm-take-care-and-be-considerate/,"9 Feb, 2020",The Online Citizen
19,"China virus deaths rise past 800, overtaking SARS toll",https://www.theonlinecitizen.com/2020/02/09/china-virus-deaths-rise-past-800-overtaking-sars-toll/,"9 Feb, 2020",The Online Citizen
20,Singapore Airshow hit by virus fears as 70 exhibitors pull out,https://www.theonlinecitizen.com/2020/02/09/singapore-airshow-hit-by-virus-fears-as-70-exhibitors-pull-out/,"9 Feb, 2020",The Online Citizen
21,"Hong Kong border towns welcome virus controls, despite trade hit",https://www.theonlinecitizen.com/2020/02/09/hong-kong-border-towns-welcome-virus-controls-despite-trade-hit/,"9 Feb, 2020",The Online Citizen
23,"SNEF, MOM, NTUC: Companies need to boost business continuity plans",https://www.theonlinecitizen.com/2020/02/09/snef-mom-ntuc-companies-need-to-boost-business-continuity-plans/,"9 Feb, 2020",The Online Citizen
24,Khaw Boon Wan: Coronavirus impacts aviation sector more than Sars,https://www.theonlinecitizen.com/2020/02/09/khaw-boon-wan-coronavirus-impacts-aviation-sector-more-than-sars/,"9 Feb, 2020",The Online Citizen
25,China virus death toll soars to 803: official,https://www.theonlinecitizen.com/2020/02/09/china-virus-death-toll-soars-to-803-official/,"9 Feb, 2020",The Online Citizen
26,"Grab suspends GrabShare service from 1am, Sunday onwards, due to latest Novel Coronavirus developments",https://www.theonlinecitizen.com/2020/02/08/grab-suspends-grabshare-service-from-1am-sunday-onwards-due-to-latest-novel-coronavirus-developments/,"8 Feb, 2020",The Online Citizen
27,Seven new infected cases announced by MOH; Two new cases with no travel history to China or links to previous cases,https://www.theonlinecitizen.com/2020/02/08/seven-new-infected-cases-announced-by-moh-two-new-cases-with-no-travel-history-to-china-or-links-to-previous-cases/,"8 Feb, 2020",The Online Citizen
28,Five Brits test positive for coronavirus in France,https://www.theonlinecitizen.com/2020/02/08/five-brits-test-positive-for-coronavirus-in-france/,"8 Feb, 2020",The Online Citizen
29,"China virus toll hits 722, with first foreign victim",https://www.theonlinecitizen.com/2020/02/08/china-virus-toll-hits-722-with-first-foreign-victim/,"8 Feb, 2020",The Online Citizen
30,Hong Kong starts quarantine for mainland China arrivals,https://www.theonlinecitizen.com/2020/02/08/hong-kong-starts-quarantine-for-mainland-china-arrivals/,"8 Feb, 2020",The Online Citizen
31,Latest coronavirus study implicates fecal transmission,https://www.theonlinecitizen.com/2020/02/08/latest-coronavirus-study-implicates-fecal-transmission/,"8 Feb, 2020",The Online Citizen
32,Lockheed Martin to withdraw from Singapore Airshow; US Department of Defence shrink attending delegation,https://www.theonlinecitizen.com/2020/02/08/lockheed-martin-to-withdraw-from-singapore-airshow-us-department-of-defence-shrink-attending-delegation/,"8 Feb, 2020",The Online Citizen
33,China virus death toll soars to 717: official,https://www.theonlinecitizen.com/2020/02/08/china-virus-death-toll-soars-to-717-official/,"8 Feb, 2020",The Online Citizen
34,Pangolin identified as potential link for coronavirus spread,https://www.theonlinecitizen.com/2020/02/07/pangolin-identified-as-potential-link-for-coronavirus-spread/,"7 Feb, 2020",The Online Citizen
35,Certified formulator highlights how good personal hygiene is more efficient than relying on hand sanitisers,https://www.theonlinecitizen.com/2020/02/07/certified-formulator-highlights-how-good-personal-hygiene-is-more-efficient-than-relying-on-hand-sanitisers/,"7 Feb, 2020",The Online Citizen
36,Minister Chan Chun Sing calls for public to remain calm and not hoard items unnecessarily as public goes into a panic buying spree,https://www.theonlinecitizen.com/2020/02/07/minister-chan-chun-sing-calls-for-public-to-remain-calm-and-not-hoard-items-unnecessarily-as-public-goes-into-a-panic-buying-spree/,"7 Feb, 2020",The Online Citizen
37,MOH reports 3 new Wuhan virus cases with no links and admits can’t establish any links for Case 29,https://www.theonlinecitizen.com/2020/02/07/moh-reports-3-new-wuhan-virus-cases-with-no-links-and-admits-cant-establish-any-links-for-case-29/,"7 Feb, 2020",The Online Citizen
38,Singapore Government raises DORSCON Level to Orange; Additional precautionary measures introduced,https://www.theonlinecitizen.com/2020/02/07/singapore-government-raises-dorscon-level-to-orange-additional-precautionary-measures-introduced/,"7 Feb, 2020",The Online Citizen
40,Religious teacher issues clarification and apology following remarks on Chinese hygiene practices in wake of novel coronavirus outbreak,https://www.theonlinecitizen.com/2020/02/07/religious-teacher-issues-clarification-and-apology-following-remarks-on-chinese-hygiene-practices-in-the-wake-of-novel-coronavirus-outbreak/,"7 Feb, 2020",The Online Citizen
41,"ESG: Initiatives to create S$17.3b in company value, 21,700 in jobs",https://www.theonlinecitizen.com/2020/02/07/esg-initiatives-to-create-s17-3b-in-company-value-21700-in-jobs/,"7 Feb, 2020",The Online Citizen
42,Five Singaporeans quarantined on the Diamond Princess cruise ship,https://www.theonlinecitizen.com/2020/02/07/five-singaporeans-quarantined-on-the-diamond-princess-cruise-ship/,"7 Feb, 2020",The Online Citizen
43,"Death of Chinese doctor fuels anger, demands for change",https://www.theonlinecitizen.com/2020/02/07/death-of-chinese-doctor-fuels-anger-demands-for-change/,"7 Feb, 2020",The Online Citizen
44,Malaysia confirms another coronavirus case of Wuhan tourist who entered via Singapore,https://www.theonlinecitizen.com/2020/02/07/malaysia-confirms-another-coronavirus-case-of-wuhan-tourist-who-entered-via-singapore/,"7 Feb, 2020",The Online Citizen
48,"Virus-hit cruise ship in lock down, off Japan’s Yokohama harbour",https://www.theonlinecitizen.com/2020/02/07/virus-hit-cruise-ship-in-lock-down-off-japans-yokohama-harbour/,"7 Feb, 2020",The Online Citizen
49,China’s Ba Yi aerobatics team cleared by MINDEF to participate in Singapore Airshow 2020,https://www.theonlinecitizen.com/2020/02/07/chinas-ba-yi-aerobatics-team-cleared-by-mindef-to-participate-in-singapore-airshow-2020/,"7 Feb, 2020",The Online Citizen
50,"Chinese doctor who was reprimanded for raising early alarm over outbreak, dies from virus infection",https://www.theonlinecitizen.com/2020/02/07/chinese-doctor-who-was-reprimanded-for-raising-early-alarm-over-outbreak-dies-from-virus-infection/,"7 Feb, 2020",The Online Citizen
51,Third UK patient believed to have ‘caught coronavirus in Singapore’,https://www.theonlinecitizen.com/2020/02/07/third-uk-patient-believed-to-have-caught-coronavirus-in-singapore/,"7 Feb, 2020",The Online Citizen
53,Punggol residents place hand sanitizers in the lifts for public to use amid coronavirus outbreak,https://www.theonlinecitizen.com/2020/02/07/punggol-residents-place-hand-sanitizers-in-the-lifts-for-public-to-use-amid-coronavirus-outbreak/,"7 Feb, 2020",The Online Citizen
54,Home Affairs Minister instructs MHA to investigate anti-Chinese remarks made by religious teacher in private Facebook post,https://www.theonlinecitizen.com/2020/02/07/home-affairs-minister-instructs-mha-to-investigate-anti-chinese-remarks-made-by-religious-teacher/,"7 Feb, 2020",The Online Citizen
55,MOH can’t confirm how S’porean caught Wuhan virus; Related virus can survive for hours outside body,https://www.theonlinecitizen.com/2020/02/07/moh-cant-confirm-how-sporean-caught-wuhan-virus-virus-can-survive-for-hours-outside-body/,"7 Feb, 2020",The Online Citizen
56,"Netizens slam Stefanie Sun, By2 after a post on hoarding medical supplies in Singapore for China; Sun not involved in purchase of supplies",https://www.theonlinecitizen.com/2020/02/07/netizens-slam-stefanie-sun-by2-after-a-post-on-hoarding-medical-supplies-in-singapore-for-china/,"7 Feb, 2020",The Online Citizen
57,"China virus death toll hits 636, more than 30,000 infections",https://www.theonlinecitizen.com/2020/02/07/china-virus-death-toll-hits-636-more-than-30000-infections/,"7 Feb, 2020",The Online Citizen
58,Airlines extend China flight suspensions,https://www.theonlinecitizen.com/2020/02/07/airlines-extend-china-flight-suspensions/,"7 Feb, 2020",The Online Citizen
59,Global panic deepens over China virus as whistleblower doctor dies,https://www.theonlinecitizen.com/2020/02/07/global-panic-deepens-over-china-virus-as-whistleblower-doctor-dies/,"7 Feb, 2020",The Online Citizen
