index,headline,source_url,publish_date,publisher
0,"Kuwait, Qatar want its citizens to hold their travel plans to Singapore due to coronavirus outbreak",https://www.theonlinecitizen.com/2020/02/10/kuwait-qatar-want-its-citizens-to-hold-their-travel-plans-to-singapore-due-to-coronavirus-outbreak/,10-02-2020 15:58:10,The Online Citizen
1,Charity organisation opens first community store in Mountbatten that allows needy households to choose their own food for free,https://www.theonlinecitizen.com/2020/02/10/charity-organisation-opens-first-community-store-in-mountbatten-that-allows-needy-households-to-choose-their-own-food-for-free/,10-02-2020 15:31:23,The Online Citizen
2,SDP’s climate change policy paper: Taking urgent measures towards a smart and green future,https://www.theonlinecitizen.com/2020/02/10/sdps-climate-change-policy-paper-taking-urgent-measures-towards-a-smart-and-green-future/,10-02-2020 15:23:26,The Online Citizen
3,SCDF thanks Good Samaritans for leaving cartons of Milo at fire stations and posts islandwide,https://www.theonlinecitizen.com/2020/02/10/scdf-thanks-good-samaritans-for-leaving-cartons-of-milo-at-fire-stations-and-posts-islandwide/,10-02-2020 15:21:29,The Online Citizen
4,SCDF thanks Good Samaritans for leaving cartons of Milo at fire stations and posts islandwide,https://www.theonlinecitizen.com/2020/02/10/scdf-thanks-good-samaritans-for-leaving-cartons-of-milo-at-fire-stations-and-posts-islandwide/,10-02-2020 15:21:29,The Online Citizen
5,FairPrice sets buying limit to discourage overbuying and hoarding; Sheng Siong opts not to as they trust public to be rational,https://www.theonlinecitizen.com/2020/02/10/fairprice-sets-buying-limit-to-discourage-overbuying-and-hoarding-sheng-siong-opts-not-to-as-they-trust-public-to-be-rational/,10-02-2020 15:02:29,The Online Citizen
6,FairPrice Group CEO says limitation on purchasing essential items imposed to “catch up” on deliveries to stores,https://www.theonlinecitizen.com/2020/02/10/fairprice-group-ceo-says-limitation-on-purchasing-essential-items-imposed-to-catch-up-on-deliveries-to-stores/,10-02-2020 14:45:40,The Online Citizen
7,Mixed reaction from netizens on PM Lee Hsien Loong’s 8 Feb message to Singapore,https://www.theonlinecitizen.com/2020/02/10/mixed-reaction-from-netizens-on-pm-lee-hsien-loongs-8-feb-message-to-singapore/,10-02-2020 14:45:20,The Online Citizen
8,M’sia novel coronavirus cases rise to 18,https://www.theonlinecitizen.com/2020/02/10/msia-novel-coronavirus-cases-rise-to-18/,10-02-2020 13:10:00,The Online Citizen
9,3 previous coronavirus cases with no links now traced to infected PRC couple from Wuhan,https://www.theonlinecitizen.com/2020/02/10/3-previous-coronavirus-cases-with-no-links-now-traced-to-infected-prc-couple-from-wuhan/,10-02-2020 12:50:27,The Online Citizen
10,NTUC FairPrice imposes purchase limit for customers; Online store labels rice products mostly out of stock,https://www.theonlinecitizen.com/2020/02/10/ntuc-fairprice-imposes-purchase-limit-for-customers-online-store-labels-rice-products-mostly-out-of-stock/,10-02-2020 11:45:26,The Online Citizen
11,Netizens criticise MOM’s Leave of Absence rules and think it’s a joke,https://www.theonlinecitizen.com/2020/02/10/netizens-criticise-moms-leave-of-absence-rules-and-think-its-a-joke/,10-02-2020 11:33:22,The Online Citizen
12,MAS: financial institutions to adopt additional precautions and measures amid increased alert level,https://www.theonlinecitizen.com/2020/02/10/mas-financial-institutions-to-adopt-additional-precautions-and-measures-amid-increased-alert-level/,10-02-2020 11:13:16,The Online Citizen
13,China stutters back to work as virus deaths soar,https://www.theonlinecitizen.com/2020/02/10/china-stutters-back-to-work-as-virus-deaths-soar/,10-02-2020 10:58:20,The Online Citizen
14,China virus deaths jump to 902: official,https://www.theonlinecitizen.com/2020/02/10/china-virus-deaths-jump-to-902-official/,10-02-2020 10:28:31,The Online Citizen
15,MOH: Three more cases of 2019-nCoV infection in Singapore without travel history to China or links to previously confirmed cases,https://www.theonlinecitizen.com/2020/02/09/moh-three-more-cases-of-2019-ncov-infection-in-singapore-without-travel-history-to-china-or-links-to-previously-confirmed-cases/,09-02-2020 22:28:42,The Online Citizen
16,MOM suspends work pass privilege of six employers and bans four workers permanently for breaching leave of absence requirement,https://www.theonlinecitizen.com/2020/02/09/mom-suspends-work-pass-privilege-of-six-employers-and-bans-four-workers-permanently-for-breaching-leave-of-absence-requirement/,09-02-2020 21:22:53,The Online Citizen
17,"Dr Tan Cheng Bock urges public to “stay calm”, “take care” and “be considerate”",https://www.theonlinecitizen.com/2020/02/09/dr-tan-cheng-bock-urges-public-to-stay-calm-take-care-and-be-considerate/,09-02-2020 19:15:30,The Online Citizen
18,"China virus deaths rise past 800, overtaking SARS toll",https://www.theonlinecitizen.com/2020/02/09/china-virus-deaths-rise-past-800-overtaking-sars-toll/,09-02-2020 18:14:20,The Online Citizen
19,Singapore Airshow hit by virus fears as 70 exhibitors pull out,https://www.theonlinecitizen.com/2020/02/09/singapore-airshow-hit-by-virus-fears-as-70-exhibitors-pull-out/,09-02-2020 17:53:14,The Online Citizen
20,"Hong Kong border towns welcome virus controls, despite trade hit",https://www.theonlinecitizen.com/2020/02/09/hong-kong-border-towns-welcome-virus-controls-despite-trade-hit/,09-02-2020 11:53:12,The Online Citizen
21,"SNEF, MOM, NTUC: Companies need to boost business continuity plans",https://www.theonlinecitizen.com/2020/02/09/snef-mom-ntuc-companies-need-to-boost-business-continuity-plans/,09-02-2020 11:10:57,The Online Citizen
22,Khaw Boon Wan: Coronavirus impacts aviation sector more than Sars,https://www.theonlinecitizen.com/2020/02/09/khaw-boon-wan-coronavirus-impacts-aviation-sector-more-than-sars/,09-02-2020 10:40:17,The Online Citizen
23,China virus death toll soars to 803: official,https://www.theonlinecitizen.com/2020/02/09/china-virus-death-toll-soars-to-803-official/,09-02-2020 07:43:35,The Online Citizen
24,"Grab suspends GrabShare service from 1am, Sunday onwards, due to latest Novel Coronavirus developments",https://www.theonlinecitizen.com/2020/02/08/grab-suspends-grabshare-service-from-1am-sunday-onwards-due-to-latest-novel-coronavirus-developments/,08-02-2020 23:44:13,The Online Citizen
25,Seven new infected cases announced by MOH; Two new cases with no travel history to China or links to previous cases,https://www.theonlinecitizen.com/2020/02/08/seven-new-infected-cases-announced-by-moh-two-new-cases-with-no-travel-history-to-china-or-links-to-previous-cases/,08-02-2020 23:34:17,The Online Citizen
26,Five Brits test positive for coronavirus in France,https://www.theonlinecitizen.com/2020/02/08/five-brits-test-positive-for-coronavirus-in-france/,08-02-2020 19:52:08,The Online Citizen
27,"China virus toll hits 722, with first foreign victim",https://www.theonlinecitizen.com/2020/02/08/china-virus-toll-hits-722-with-first-foreign-victim/,08-02-2020 19:20:16,The Online Citizen
28,Hong Kong starts quarantine for mainland China arrivals,https://www.theonlinecitizen.com/2020/02/08/hong-kong-starts-quarantine-for-mainland-china-arrivals/,08-02-2020 19:17:50,The Online Citizen
29,Latest coronavirus study implicates fecal transmission,https://www.theonlinecitizen.com/2020/02/08/latest-coronavirus-study-implicates-fecal-transmission/,08-02-2020 11:24:26,The Online Citizen
30,Lockheed Martin to withdraw from Singapore Airshow; US Department of Defence shrink attending delegation,https://www.theonlinecitizen.com/2020/02/08/lockheed-martin-to-withdraw-from-singapore-airshow-us-department-of-defence-shrink-attending-delegation/,08-02-2020 10:20:35,The Online Citizen
