index,headline                                                                                                                          ,source_url                                                                                           ,publish_date,publisher
1    ,"Coronavirus: No evidence virus is transmitted via aerosol, says Chinese expert"                                                  ,/asia/east-asia/coronavirus-no-evidence-virus-is-transmitted-via-aerosol-says-chinese-expert         ,2020-02-10  ,The Straits Times
2    ,"Coronavirus: 2 new cases, including Certis officer who had served quarantine orders on 2 who tested positive"                    ,/singapore/coronavirus-2-new-cases-in-singapore-including-certis-cisco-staff-who-had-served          ,2020-02-10  ,The Straits Times
3    ,Coronavirus: Price of a box of N95 masks cost more than a gram of gold in Indonesia                                               ,/asia/se-asia/coronavirus-price-of-a-box-n95-masks-cost-more-than-a-gram-of-gold-in-indonesia        ,2020-02-10  ,The Straits Times
4    ,Hundreds of Chinese firms seek billions in loans amid coronavirus outbreak: Sources                                               ,/asia/east-asia/hundreds-of-chinese-firms-seek-billions-in-loans-amid-coronavirus-outbreak-sources   ,2020-02-10  ,The Straits Times
5    ,"Cambodia garments, possibly losing EU trade status, now hit by coronavirus"                                                      ,/asia/se-asia/cambodia-garments-possibly-losing-eu-trade-status-now-hit-by-coronavirus               ,2020-02-10  ,The Straits Times
6    ,Coronavirus: Patients in Singapore keen to help research into virus that originated in Wuhan                                      ,/singapore/health/coronavirus-patients-in-singapore-keen-to-help-research-into-virus-that-originated ,2020-02-10  ,The Straits Times
7    ,President Xi says to prevent large-scale layoffs amid coronavirus outbreak                                                        ,/asia/east-asia/coronavirus-chinas-xi-seen-in-public-as-anger-mounts                                 ,2020-02-10  ,The Straits Times
8    ,"Coronavirus: About 200 police officers deployed to government quarantine facilities, says Shanmugam"                             ,/singapore/coronavirus-about-200-police-officers-deployed-to-government-quarantine-facilities-says-k ,2020-02-10  ,The Straits Times
9    ,Hong Kong's richest tycoon gives $18 million to battle virus                                                                      ,/asia/east-asia/hong-kongs-richest-tycoon-gives-17-million-to-battle-virus                           ,2020-02-10  ,The Straits Times
10   ,Coronavirus: Music festival Stereofest in Sentosa postponed                                                                       ,/lifestyle/entertainment/coronavirus-music-festival-stereofest-in-sentosa-postponed                  ,2020-02-10  ,The Straits Times
11   ,WHO is watching 10 Chinese provinces as possible coronavirus hot spots                                                            ,/asia/east-asia/who-is-watching-10-chinese-provinces-as-possible-coronavirus-hotspots                ,2020-02-10  ,The Straits Times
12   ,Four more patients test positive for coronavirus in England                                                                       ,/world/europe/four-more-patients-test-positive-for-coronavirus-in-england                            ,2020-02-10  ,The Straits Times
13   ,Football: Tottenham's Alli apologises for coronavirus video                                                                       ,/sport/football/football-tottenhams-alli-apologises-for-coronavirus-video                            ,2020-02-10  ,The Straits Times
14   ,Money FM Podcast: Budget 2020 preview with Indranee Rajah                                                                         ,/business/money-fm-podcast-budget-2020-preview                                                       ,2020-02-10  ,The Straits Times
15   ,"The Big Story: First workday since outbreak alert was raised to orange, impact of panic buying and Oscars 2020"                  ,/multimedia/the-big-story-first-workday-since-outbreak-alert-was-raised-to-orange-impact-of-panic    ,2020-02-10  ,The Straits Times
16   ,Coronavirus: Business continuity plans kick in for companies following code orange alert                                          ,/singapore/coronavirus-business-continuity-plans-kick-in-for-companies-following-code-orange-alert   ,2020-02-10  ,The Straits Times
17   ,Hotpot stocks slide after Hong Kong family confirmed to have coronavirus                                                          ,/business/companies-markets/hotpot-stocks-slide-after-family-gets-coronavirus-in-hong-kong           ,2020-02-10  ,The Straits Times
18   ,"Coronavirus: Turn off air-conditioners and open windows to reduce risk of being infected, say experts"                           ,/singapore/health/coronavirus-turn-off-air-conditioners-and-open-windows-to-reduce-risk-of-being     ,2020-02-10  ,The Straits Times
19   ,"Coronavirus: Self-quarantine a must for Sarawakians who visited Singapore, says DCM"                                             ,/asia/se-asia/coronavirus-self-quarantine-a-must-for-sarawakians-who-visited-singapore-says-dcm      ,2020-02-10  ,The Straits Times
20   ,Performing arts groups postpone upcoming shows in light of coronavirus outbreak                                                   ,/singapore/performing-arts-groups-postpone-upcoming-shows-in-light-of-coronavirus-outbreak           ,2020-02-10  ,The Straits Times
21   ,Coronavirus patients may be mildly ill for more than a week before condition becomes severe                                       ,/singapore/health/coronavirus-patients-may-be-mildly-ill-for-more-than-a-week-before-condition       ,2020-02-10  ,The Straits Times
22   ,"Coronoavirus: Cabin fever under quarantine - Oscars, eating and short glimpses of sky"                                           ,/asia/east-asia/coronoavirus-cabin-fever-under-quarantine-oscars-eating-and-short-glimpses-of-sky    ,2020-02-10  ,The Straits Times
23   ,Coronavirus: China rejects Foxconn's request to resume production in key Shenzhen plant                                           ,/asia/east-asia/coronavirus-china-rejects-foxconns-request-to-resume-production-in-key-shenzhen-plant,2020-02-10  ,The Straits Times
