index,headline,source_url,publish_date,publisher
1,Coronavirus: Britain says has found ninth case of bug in the country,/world/europe/coronavirus-britain-says-has-found-ninth-case-of-bug-in-the-country,13-02-2020 03:28:43,The Straits Times
2,Coronavirus: Organisers cancel Barcelona’s Mobile World Congress over virus fears,/tech/coronavirus-cisco-facebook-sprint-pull-out-of-mobile-world-congress-meet-in-barcelona,13-02-2020 02:56:43,The Straits Times
3,"Coronavirus: Cases stablise, but outbreak could go any way, says WHO",/world/europe/coronavirus-cases-stablise-but-outbreak-could-go-any-way-says-who,13-02-2020 02:52:43,The Straits Times
4,Coronavirus: US CDC says not yet invited to assist with investigation in China,/world/united-states/coronavirus-us-cdc-says-not-yet-invited-to-assist-with-investigation-in-china,13-02-2020 02:33:43,The Straits Times
5,Coronavirus: Exiled Uighurs fear spread of virus in China camps,/asia/east-asia/coronavirus-exiled-uighurs-fear-spread-of-virus-in-china-camps,13-02-2020 00:33:43,The Straits Times
6,Coronavirus outbreak hitting global postal services: UN,/world/europe/coronavirus-outbreak-hitting-global-postal-services-un,12-02-2020 23:33:43,The Straits Times
7,Forum: Come down hard on social media opportunists,/forum/forum-come-down-hard-on-social-media-opportunists,12-02-2020 23:33:43,The Straits Times
8,Forum: Build national culture of readiness for crises,/forum/forum-build-national-culture-of-readiness-for-crises,12-02-2020 23:33:43,The Straits Times
9,Forum: Act to mitigate burnout among local healthcare professionals,/forum/forum-act-to-mitigate-burnout-among-local-healthcare-professionals,12-02-2020 23:33:43,The Straits Times
10,Forum: ICA committed to safety of officers and travellers at checkpoints,/forum/forum-ica-committed-to-safety-of-officers-and-travellers-at-checkpoints,12-02-2020 23:33:43,The Straits Times
11,Forum: Bouquets,/forum/forum-bouquets-3,12-02-2020 23:34:05,The Straits Times
12,Coronavirus: Chief medical officer responds to view that everyone should wear a mask to avoid infection,/singapore/health/coronavirus-chief-medical-officer-responds-to-view-that-everyone-should-wear-a-mask,12-02-2020 23:34:05,The Straits Times
